x,y
7.4471679999999996e+00,-3.4834702000000000e+01
8.1025860000000005e+00,-3.4393200000000000e+01
8.4525469999999991e+00,-3.4152901000000000e+01
8.7112780000000001e+00,-3.3979098999999998e+01
8.9167740000000002e+00,-3.3845900999999998e+01
9.0871549999999992e+00,-3.3732899000000003e+01
9.2325900000000001e+00,-3.3640301000000001e+01
9.3595349999999993e+00,-3.3559199999999997e+01
9.4721659999999996e+00,-3.3486801000000000e+01
9.5733840000000008e+00,-3.3423099999999998e+01
9.6652930000000001e+00,-3.3365101000000003e+01
9.7494610000000002e+00,-3.3313000000000002e+01
9.8270920000000004e+00,-3.3260899000000002e+01
9.8991279999999993e+00,-3.3217399999999998e+01
9.9663210000000007e+00,-3.3176898999999999e+01
1.0029280000000000e+01,-3.3139198000000000e+01
1.0088509999999999e+01,-3.3101601000000002e+01
1.0144430000000000e+01,-3.3066799000000003e+01
1.0197380000000001e+01,-3.3034999999999997e+01
1.0247669999999999e+01,-3.3003101000000001e+01
1.0295560000000000e+01,-3.2971297999999997e+01
1.0341250000000000e+01,-3.2942298999999998e+01
1.0384950000000000e+01,-3.2916302000000002e+01
1.0426819999999999e+01,-3.2890202000000002e+01
1.0467000000000001e+01,-3.2864100999999998e+01
1.0505640000000000e+01,-3.2841000000000001e+01
1.0542830000000000e+01,-3.2817799000000001e+01
1.0578690000000000e+01,-3.2797500999999997e+01
1.0613310000000000e+01,-3.2774299999999997e+01
1.0646780000000000e+01,-3.2756999999999998e+01
1.0679150000000000e+01,-3.2733798999999998e+01
1.0710520000000001e+01,-3.2716400000000000e+01
1.0740919999999999e+01,-3.2699100000000001e+01
1.0770440000000001e+01,-3.2678798999999998e+01
1.0799099999999999e+01,-3.2661400000000000e+01
1.0826969999999999e+01,-3.2644001000000003e+01
1.0854080000000000e+01,-3.2626700999999997e+01
1.0880470000000001e+01,-3.2612202000000003e+01
1.0906190000000000e+01,-3.2597698000000001e+01
1.0931260000000000e+01,-3.2583199000000000e+01
1.0955719999999999e+01,-3.2568699000000002e+01
1.0979590000000000e+01,-3.2554298000000003e+01
1.1002910000000000e+01,-3.2539799000000002e+01
1.1025700000000001e+01,-3.2525298999999997e+01
1.1047980000000001e+01,-3.2510798999999999e+01
1.1069770000000000e+01,-3.2499198999999997e+01
1.1091100000000001e+01,-3.2487597999999998e+01
1.1111980000000001e+01,-3.2473202000000001e+01
1.1132440000000001e+01,-3.2461601000000002e+01
1.1152480000000001e+01,-3.2435501000000002e+01
1.1172129999999999e+01,-3.2435501000000002e+01
1.1191409999999999e+01,-3.2426800000000000e+01
1.1210310000000000e+01,-3.2412300000000002e+01
1.1228870000000001e+01,-3.2400798999999999e+01
1.1247090000000000e+01,-3.2392100999999997e+01
1.1264980000000000e+01,-3.2380501000000002e+01
1.1282560000000000e+01,-3.2366000999999997e+01
1.1299840000000000e+01,-3.2357300000000002e+01
1.1316820000000000e+01,-3.2348598000000003e+01
1.1333520000000000e+01,-3.2339900999999998e+01
1.1349940000000000e+01,-3.2328400000000002e+01
1.1366099999999999e+01,-3.2319698000000002e+01
1.1382000000000000e+01,-3.2311000999999997e+01
1.1397660000000000e+01,-3.2299399999999999e+01
