j1,j2,j3
1.3803667652222962e-02,6.8964858681797303e-01,-1.6003931680647821e+02
1.3626766540570500e-02,6.7267358163837687e-01,-1.5846413550574803e+02
1.3534092809430643e-02,6.6386232532650802e-01,-1.5763646397189447e+02
1.3466357190051076e-02,6.5745760356489846e-01,-1.5703042938108368e+02
1.3413023473660260e-02,6.5243573164038404e-01,-1.5655260067666671e+02
1.3369111922232979e-02,6.4831499119109914e-01,-1.5615875644110085e+02
1.3331848766521548e-02,6.4482802929309369e-01,-1.5582423570300864e+02
1.3299486755222698e-02,6.4180706191785364e-01,-1.5553348503914847e+02
1.3270900627065150e-02,6.3914426351341247e-01,-1.5527648081601376e+02
1.3245312259930520e-02,6.3676523719020506e-01,-1.5504628665384971e+02
1.3222159698444053e-02,6.3461636358019313e-01,-1.5483788980207143e+02
1.3201025644836875e-02,6.3265789475781642e-01,-1.5464756578768902e+02
1.3181590774150723e-02,6.3085946508693869e-01,-1.5447246303012309e+02
1.3163605996835659e-02,6.2919742209026408e-01,-1.5431035610643360e+02
1.3146873028600367e-02,6.2765296330820597e-01,-1.5415947271060423e+02
1.3131231700481583e-02,6.2621091931935813e-01,-1.5401838064571956e+02
1.3116549583537864e-02,6.2485876541759078e-01,-1.5388589522182423e+02
1.3102717040863110e-02,6.2358614343777030e-01,-1.5376103530718112e+02
1.3089645122595479e-02,6.2238465086884576e-01,-1.5364300486442582e+02
1.3077253196605326e-02,6.2124669137721655e-01,-1.5353108165614680e+02
1.3065473705785133e-02,6.2016590374212877e-01,-1.5342466045951355e+02
1.3054254443508924e-02,6.1913736219846982e-01,-1.5332327388784574e+02
1.3043541232099524e-02,6.1815598236991465e-01,-1.5322643604958725e+02
1.3033292575649197e-02,6.1721786087896580e-01,-1.5313377507918162e+02
1.3023472205586700e-02,6.1631958794898523e-01,-1.5304496589820610e+02
1.3014041702633372e-02,6.1545757040759341e-01,-1.5295966355937912e+02
1.3004977540567357e-02,6.1462958774167653e-01,-1.5287765747216409e+02
1.2996249078120765e-02,6.1383277844667716e-01,-1.5279867239263172e+02
1.2987833168814201e-02,6.1306497393048498e-01,-1.5272250062321260e+02
1.2979706822843225e-02,6.1232402699454813e-01,-1.5264893566052245e+02
1.2971856891329311e-02,6.1160869357707714e-01,-1.5257785990292476e+02
1.2964258213810436e-02,6.1091664020202663e-01,-1.5250904682946734e+02
1.2956902698338393e-02,6.1024709299955582e-01,-1.5244242432977316e+02
1.2949767818541600e-02,6.0959796794864507e-01,-1.5237778943496414e+02
1.2942848056959312e-02,6.0896873254637185e-01,-1.5231509313135749e+02
1.2936125883941600e-02,6.0835776470696123e-01,-1.5225417748317679e+02
1.2929593490390624e-02,6.0776432909905531e-01,-1.5219497253773002e+02
1.2923240706385414e-02,6.0718747813255736e-01,-1.5213738687561892e+02
1.2917055010146642e-02,6.0662605315507356e-01,-1.5208130767966256e+02
1.2911031143163327e-02,6.0607955691213711e-01,-1.5202668791225474e+02
1.2905159077365641e-02,6.0554706107790568e-01,-1.5197343723743745e+02
1.2899433624724401e-02,6.0502807797544977e-01,-1.5192150915581195e+02
1.2893844832717865e-02,6.0452168952407093e-01,-1.5187081390876247e+02
1.2888387577218845e-02,6.0402741671414351e-01,-1.5182130548519979e+02
1.2883056757995556e-02,6.0354478377972187e-01,-1.5177293805657510e+02
1.2877847297725885e-02,6.0307331806208619e-01,-1.5172566596940663e+02
1.2872751753056565e-02,6.0261233388156754e-01,-1.5167942206490844e+02
1.2867767481263448e-02,6.0216158088484506e-01,-1.5163418271919247e+02
1.2862887083676998e-02,6.0172037943564516e-01,-1.5158988111529575e+02
1.2858110336113506e-02,6.0128869931974160e-01,-1.5154651553596872e+02
1.2853429876151758e-02,6.0086586580161128e-01,-1.5150401944157963e+02
1.2848840745444543e-02,6.0045142231533588e-01,-1.5146234808874846e+02
1.2844345136277026e-02,6.0004555851479346e-01,-1.5142152165081745e+02
1.2839933357254240e-02,5.9964739162325142e-01,-1.5138145236702795e+02
1.2835605244554103e-02,5.9925689959700079e-01,-1.5134213898173965e+02
1.2831358264433353e-02,5.9887384682825984e-01,-1.5130355870461642e+02
1.2827187520655384e-02,5.9849778513735674e-01,-1.5126566726771654e+02
1.2823090501958860e-02,5.9812848194720603e-01,-1.5122844205290079e+02
1.2819067074317960e-02,5.9776591924760591e-01,-1.5119188203238514e+02
1.2815112371470745e-02,5.9740965289824810e-01,-1.5115594316784430e+02
1.2811226272742105e-02,5.9705966669246047e-01,-1.5112062453366994e+02
1.2807403930392947e-02,5.9671551898232467e-01,-1.5108588223350898e+02
1.2803645236164870e-02,5.9637719523633226e-01,-1.5105171543682812e+02
1.2799945359751366e-02,5.9604425614955514e-01,-1.5101808038094836e+02
1.2796306565119495e-02,5.9571690109102371e-01,-1.5098499778712153e+02
1.2792726393952585e-02,5.9539490462380251e-01,-1.5095244544266595e+02
1.2789197678408113e-02,5.9507761820571803e-01,-1.5092035829909796e+02
1.2785725051589130e-02,5.9476545469778641e-01,-1.5088877860561885e+02
1.2782306071038842e-02,5.9445819079602902e-01,-1.5085768427113211e+02
1.2778935946071671e-02,5.9415539251630678e-01,-1.5082703183686908e+02
1.2775614603395637e-02,5.9385705004026101e-01,-1.5079682074012590e+02
1.2772341970833049e-02,5.9356315370268875e-01,-1.5076705042666967e+02
1.2769115626327002e-02,5.9327348293687154e-01,-1.5073769896192945e+02
1.2765935503307738e-02,5.9298802883306967e-01,-1.5070876583463601e+02
1.2762796838720383e-02,5.9270636110876440e-01,-1.5068020779815510e+02
1.2759704269872277e-02,5.9242889322266046e-01,-1.5065206713321740e+02
1.2756650693410174e-02,5.9215498526805166e-01,-1.5062427928654219e+02
1.2753633710780166e-02,5.9188441982427487e-01,-1.5059682250405874e+02
1.2750655382783234e-02,5.9161737947517767e-01,-1.5056971561238669e+02
1.2747721047824562e-02,5.9135434045072521e-01,-1.5054300727627003e+02
1.2744825260710741e-02,5.9109481225224580e-01,-1.5051664801029031e+02
1.2741965864350953e-02,5.9083859942226291e-01,-1.5049061824800208e+02
1.2739140471921760e-02,5.9058548611353601e-01,-1.5046489632535292e+02
1.2736351379874031e-02,5.9033567610236226e-01,-1.5043950321178187e+02
1.2733596204550411e-02,5.9008895396687822e-01,-1.5041441726751739e+02
1.2730874904173793e-02,5.8984531413027008e-01,-1.5038963817138421e+02
1.2728185101055250e-02,5.8960454196749679e-01,-1.5036514432949332e+02
1.2725526757319377e-02,5.8936663242383547e-01,-1.5034093545063777e+02
1.2722899835555959e-02,5.8913158050825576e-01,-1.5031701124715249e+02
1.2720304298818650e-02,5.8889938129318431e-01,-1.5029337143490491e+02
1.2717735445131583e-02,5.8866961265304574e-01,-1.5026997323675192e+02
1.2715195575712507e-02,5.8844247901290725e-01,-1.5024683765850816e+02
1.2712684657597974e-02,5.8821797597855319e-01,-1.5022396444662436e+02
1.2710202658218551e-02,5.8799609920961571e-01,-1.5020135335055295e+02
1.2707749545397775e-02,5.8777684441938882e-01,-1.5017900412274116e+02
1.2705320630654869e-02,5.8755979127907443e-01,-1.5015687408989660e+02
1.2702918215191091e-02,5.8734514421901318e-01,-1.5013498425754369e+02
1.2700539943806165e-02,5.8713269161429038e-01,-1.5011331320472388e+02
1.2698188116603722e-02,5.8692263775242737e-01,-1.5009188192844246e+02
1.2695860380669329e-02,5.8671477131372773e-01,-1.5007066902531216e+02
1.2693556710858299e-02,5.8650908895081422e-01,-1.5004967430182506e+02
1.2691274758921945e-02,5.8630537996394572e-01,-1.5002887639052639e+02
1.2689016825233696e-02,5.8610384868094501e-01,-1.5000829629040174e+02
1.2686782885439382e-02,5.8590449186233173e-01,-1.4998793381396871e+02
1.2684570594449707e-02,5.8570709922956410e-01,-1.4996776761807320e+02
1.2682377610541716e-02,5.8551146095035000e-01,-1.4994777638550951e+02
1.2680208553671786e-02,5.8531798824415271e-01,-1.4992800226193731e+02
1.2678058763078821e-02,5.8512626446474281e-01,-1.4990840278755616e+02
1.2675928220186693e-02,5.8493628714147472e-01,-1.4988897781935842e+02
1.2673819223799886e-02,5.8474826040112715e-01,-1.4986974834408406e+02
1.2671731753477449e-02,5.8456218152817219e-01,-1.4985071420430012e+02
1.2669661157520442e-02,5.8437763507754492e-01,-1.4983183301006159e+02
1.2667609735277693e-02,5.8419482525024258e-01,-1.4981312575225925e+02
1.2665577469065189e-02,5.8401374969728748e-01,-1.4979459229468719e+02
1.2663564341372028e-02,5.8383440609327142e-01,-1.4977623250246032e+02
1.2661568021979727e-02,5.8365658613413463e-01,-1.4975802514698131e+02
1.2659588495815895e-02,5.8348028781780015e-01,-1.4973997011215974e+02
1.2657628059430647e-02,5.8330571497887707e-01,-1.4972208836721236e+02
1.2655684385156700e-02,5.8313265965201266e-01,-1.4970435870319557e+02
1.2653757458339090e-02,5.8296111989199584e-01,-1.4968678100720285e+02
1.2651847264455401e-02,5.8279109377166105e-01,-1.4966935516733912e+02
1.2649951480333496e-02,5.8262237392058813e-01,-1.4965206000933080e+02
1.2648074709941023e-02,5.8245536945736465e-01,-1.4963493755518596e+02
1.2646212322238245e-02,5.8228966767197810e-01,-1.4961794557428172e+02
1.2644364305182234e-02,5.8212526696639744e-01,-1.4960108397382535e+02
1.2642532952993694e-02,5.8196237087213532e-01,-1.4958437370495324e+02
1.2640713640852543e-02,5.8180056750087805e-01,-1.4956777258504559e+02
1.2638913273600477e-02,5.8164047039190137e-01,-1.4955134363837320e+02
1.2637124923024134e-02,5.8148146290709557e-01,-1.4953502366052874e+02
1.2635350883108800e-02,5.8132374854863844e-01,-1.4951883360079282e+02
1.2633591142411268e-02,5.8116732580010888e-01,-1.4950277337094909e+02
1.2631845689585060e-02,5.8101219315822594e-01,-1.4948684288351970e+02
1.2630112211589415e-02,5.8085814459320162e-01,-1.4947102104237777e+02
1.2628393000271451e-02,5.8070538332692367e-01,-1.4945532878025358e+02
1.2626688044558465e-02,5.8055390789329353e-01,-1.4943976601176001e+02
1.2624995033484555e-02,5.8040351253689848e-01,-1.4942431165677820e+02
1.2623316257339087e-02,5.8025440027547726e-01,-1.4940898663597935e+02
1.2621647107699056e-02,5.8010616138537563e-01,-1.4939374889333158e+02
1.2619992173808381e-02,5.7995920305104742e-01,-1.4937864033696223e+02
1.2618351445027112e-02,5.7981352386508256e-01,-1.4936366088479099e+02
1.2616720316654914e-02,5.7966871459481428e-01,-1.4934876850953560e+02
1.2615101078161812e-02,5.7952497815159654e-01,-1.4933398412550261e+02
1.2613493720856316e-02,5.7938231338535706e-01,-1.4931930766565145e+02
1.2611898236113819e-02,5.7924071915509834e-01,-1.4930473906345270e+02
1.2610314615376490e-02,5.7910019432887694e-01,-1.4929027825288696e+02
1.2608740555882094e-02,5.7896053423398230e-01,-1.4927590421717565e+02
1.2607178344574685e-02,5.7882194145067678e-01,-1.4926163785107227e+02
1.2605627973083400e-02,5.7868441487236943e-01,-1.4924747908998609e+02
1.2604087140468402e-02,5.7854775006674930e-01,-1.4923340693121182e+02
1.2602558132200610e-02,5.7841214942104635e-01,-1.4921944225809824e+02
1.2601038648531186e-02,5.7827740865999888e-01,-1.4920556407713872e+02
1.2599530973964030e-02,5.7814373004414299e-01,-1.4919179326419513e+02
1.2598030519418562e-02,5.7801070639821539e-01,-1.4917808791267421e+02
1.2596544149982963e-02,5.7787894603654677e-01,-1.4916451073943523e+02
