j1,j2,j3
6.3228695253241063e-03,2.7516019263665470e-01,-8.0040922926719091e+01
6.2338403008035583e-03,2.6822559587982697e-01,-7.9134904633214106e+01
6.1872220188499260e-03,2.6462585192609001e-01,-7.8659222033251481e+01
6.1531582197192807e-03,2.6200920970070180e-01,-7.8311087715518781e+01
6.1263429014821796e-03,2.5995749960283715e-01,-7.8036701851562285e+01
6.1042688161300701e-03,2.5827393517804637e-01,-7.7810610182569008e+01
6.0855396482743076e-03,2.5684929733252870e-01,-7.7618622042395160e+01
6.0692759973296276e-03,2.5561504134633245e-01,-7.7451790433265799e+01
6.0549115734346093e-03,2.5452711666137268e-01,-7.7304350385842937e+01
6.0420548289012825e-03,2.5355512912029982e-01,-7.7172313292881483e+01
6.0304230195873118e-03,2.5267717279069224e-01,-7.7052797199222553e+01
6.0198062033566240e-03,2.5187700870458996e-01,-7.6943661134961843e+01
6.0100437417383691e-03,2.5114223092016441e-01,-7.6843266139312291e+01
6.0010103379343161e-03,2.5046317610559860e-01,-7.6750333300420280e+01
5.9926062582017414e-03,2.4983216238168676e-01,-7.6663844226934671e+01
5.9847509453093452e-03,2.4924299214105786e-01,-7.6582976047680276e+01
5.9773777987794782e-03,2.4869054827534740e-01,-7.6507048180987127e+01
5.9704316836055021e-03,2.4817059882376066e-01,-7.6435497037637617e+01
5.9638678682290003e-03,2.4767971082084470e-01,-7.6367865355662460e+01
5.9576458098787970e-03,2.4721478066615674e-01,-7.6303738366692954e+01
5.9517315409433683e-03,2.4677320937658459e-01,-7.6242768517206514e+01
5.9460988089639413e-03,2.4635298444115514e-01,-7.6184687355666540e+01
5.9407203784148273e-03,2.4595202854414991e-01,-7.6129215939526091e+01
5.9355753862043647e-03,2.4556874688277344e-01,-7.6076140739723428e+01
5.9306455979274758e-03,2.4520174632144290e-01,-7.6025275101741300e+01
5.9259117034972646e-03,2.4484955879721562e-01,-7.5976421057806633e+01
5.9213618721726587e-03,2.4451127706504047e-01,-7.5929457645174466e+01
5.9169807044224991e-03,2.4418573199678384e-01,-7.5884226920058595e+01
5.9127565652671672e-03,2.4387203756349748e-01,-7.5840609662894977e+01
5.9086779004946417e-03,2.4356931647874136e-01,-7.5798487373638253e+01
5.9047380968729945e-03,2.4327706044304320e-01,-7.5757792485624350e+01
5.9009245142234911e-03,2.4299431606842975e-01,-7.5718395095687356e+01
5.8972330801547006e-03,2.4272076715971294e-01,-7.5680253730688577e+01
5.8936524793587646e-03,2.4245556225028006e-01,-7.5643252020013520e+01
5.8901799335895318e-03,2.4219848376001996e-01,-7.5607361748787582e+01
5.8868066373412393e-03,2.4194886895324716e-01,-7.5572492363812529e+01
5.8835286640346891e-03,2.4170641738543613e-01,-7.5538603691854519e+01
5.8803409030915039e-03,2.4147074189356224e-01,-7.5505643283401312e+01
5.8772370645553398e-03,2.4124136908561097e-01,-7.5473546454141626e+01
5.8742145036711794e-03,2.4101809578823657e-01,-7.5442286179638728e+01
5.8712681829859613e-03,2.4080054271305304e-01,-7.5411810662994412e+01
5.8683954940786411e-03,2.4058851060160621e-01,-7.5382093203973398e+01
5.8655914384416526e-03,2.4038162435372562e-01,-7.5353082353416198e+01
5.8628534405958475e-03,2.4017968825412273e-01,-7.5324751705203809e+01
5.8601789373803510e-03,2.3998250791346212e-01,-7.5297074963168868e+01
5.8575653774443903e-03,2.3978989021263672e-01,-7.5270025936589491e+01
5.8550090227527446e-03,2.3960155500362346e-01,-7.5243566135119806e+01
5.8525085439856024e-03,2.3941739999201472e-01,-7.5217681983422636e+01
5.8500602261423503e-03,2.3923714750067024e-01,-7.5192335197007282e+01
5.8476639536565169e-03,2.3906078517406476e-01,-7.5167524741883909e+01
5.8453160302136048e-03,2.3888803733880137e-01,-7.5143212500575373e+01
5.8430139657948028e-03,2.3871871745539133e-01,-7.5119372830450985e+01
5.8407588575192263e-03,2.3855290299621199e-01,-7.5096017229221360e+01
5.8385458414907812e-03,2.3839023329561612e-01,-7.5073095450867740e+01
5.8363748332597443e-03,2.3823069933852140e-01,-7.5050606739406646e+01
5.8342445596864445e-03,2.3807420485922154e-01,-7.5028538021500225e+01
5.8321525627701718e-03,2.3792056674730017e-01,-7.5006863940815308e+01
5.8300975809606626e-03,2.3776968997637932e-01,-7.4985571527698369e+01
5.8280795451683617e-03,2.3762156718043928e-01,-7.4964660163394129e+01
5.8260960128444584e-03,2.3747601690089115e-01,-7.4944104629825262e+01
5.8241469217817331e-03,2.3733303250914886e-01,-7.4923904369766021e+01
5.8222298389798239e-03,2.3719243356591924e-01,-7.4904034250616078e+01
5.8203447086323419e-03,2.3705421412760830e-01,-7.4884493772399409e+01
5.8184891067253105e-03,2.3691819471317432e-01,-7.4865257882991813e+01
5.8166641673305210e-03,2.3678445676671597e-01,-7.4846338410108046e+01
5.8148686561906981e-03,2.3665290818159113e-01,-7.4827722628236728e+01
5.8130989772958979e-03,2.3652328399627207e-01,-7.4809373317693527e+01
5.8113574530035952e-03,2.3639575287532444e-01,-7.4791314619546355e+01
5.8096428572322143e-03,2.3627022358443123e-01,-7.4773533881484568e+01
5.8079527863920634e-03,2.3614651881877247e-01,-7.4756006234340120e+01
5.8062872027019492e-03,2.3602463456209999e-01,-7.4738731339403813e+01
5.8046460689551490e-03,2.3590456686073724e-01,-7.4721708863072379e+01
5.8030281695860414e-03,2.3578622559996359e-01,-7.4704926247260715e+01
5.8014334702787950e-03,2.3566960713504342e-01,-7.4688383184234354e+01
5.7998595816869973e-03,2.3555453567531370e-01,-7.4672054932515536e+01
5.7983088283359600e-03,2.3544118012913898e-01,-7.4655965652213254e+01
5.7967776474590780e-03,2.3532927906743017e-01,-7.4640078421713767e+01
5.7952648356061950e-03,2.3521874366242085e-01,-7.4624380791575931e+01
5.7937714254176608e-03,2.3510964850222674e-01,-7.4608883513653367e+01
5.7923000929339481e-03,2.3500218813895807e-01,-7.4593614397322895e+01
5.7908481070670466e-03,2.3489616218308049e-01,-7.4578545139284643e+01
5.7894143855406598e-03,2.3479149077993938e-01,-7.4563664542406499e+01
5.7879977309515844e-03,2.3468808574534433e-01,-7.4548960211435841e+01
5.7865992941175401e-03,2.3458603032509218e-01,-7.4534444123579902e+01
5.7852178792674241e-03,2.3448523650897032e-01,-7.4520103898203672e+01
5.7838534648659238e-03,2.3438570201535980e-01,-7.4505939342017427e+01
5.7825048582185430e-03,2.3428733916004515e-01,-7.4491938101999139e+01
5.7811720398012389e-03,2.3419014587498294e-01,-7.4478100002896966e+01
5.7798549903297983e-03,2.3409412011815642e-01,-7.4464424871593323e+01
5.7785536907591535e-03,2.3399925987348053e-01,-7.4450912537099526e+01
5.7772657832279358e-03,2.3390539268742361e-01,-7.4437538540492412e+01
5.7759924210113367e-03,2.3381260207096610e-01,-7.4424314880893789e+01
5.7747335871174204e-03,2.3372088622619966e-01,-7.4411241405723572e+01
5.7734892647573885e-03,2.3363024337722232e-01,-7.4398317964210548e+01
5.7722594373450318e-03,2.3354067177006294e-01,-7.4385544407388096e+01
5.7710417539753468e-03,2.3345199968638722e-01,-7.4372896338823622e+01
5.7698373679151678e-03,2.3336431063918739e-01,-7.4360385757478198e+01
5.7686450980624152e-03,2.3327751817171055e-01,-7.4348000414399195e+01
5.7674660971181926e-03,2.3319170573844561e-01,-7.4335752303427341e+01
5.7662991851587303e-03,2.3310678700751086e-01,-7.4323629186185030e+01
5.7651443492225778e-03,2.3302276060922536e-01,-7.4311630946232043e+01
5.7640004117910084e-03,2.3293954046540252e-01,-7.4299745366810228e+01
5.7628685257042891e-03,2.3285721004693652e-01,-7.4287984442960109e+01
5.7617486784085131e-03,2.3277576802824396e-01,-7.4276348061872142e+01
5.7606396940135520e-03,2.3269512850347240e-01,-7.4264824021411854e+01
5.7595403983644947e-03,2.3261520574940198e-01,-7.4253400135055230e+01
5.7584531070440396e-03,2.3253616775675898e-01,-7.4242100481764624e+01
5.7573754834357857e-03,2.3245784431418567e-01,-7.4230900793558419e+01
5.7563075179642492e-03,2.3238023441069680e-01,-7.4219800984388243e+01
