j1,j2,j3
-3.5682441781867418e+01,-5.4896064279796010e+03,-2.7448032139898005e+03
-3.9934664972808513e+01,-4.4838922074732363e+03,-2.8024326296707732e+03
-4.3238581311702369e+01,-3.7194478547700969e+03,-2.7895858910775723e+03
-4.5813354339608345e+01,-3.1258578653890554e+03,-2.7351256322154231e+03
-4.7817109801392093e+01,-2.6565061000773385e+03,-2.6565061000773385e+03
-5.0550555986609780e+01,-1.9727046238676985e+03,-2.4658807798346234e+03
-5.2783181868431299e+01,-1.1828164004130263e+03,-2.0699287007227958e+03
-5.2639080101299371e+01,-7.6705399054716747e+02,-1.7258714787311269e+03
-5.2783181868431299e+01,-1.1828164004130263e+03,-2.0699287007227958e+03
-5.2639080101299371e+01,-7.6705399054716747e+02,-1.7258714787311269e+03
-5.1281163123937844e+01,-5.2528720229385749e+02,-1.4445398063081082e+03
-4.9284434511781427e+01,-3.7443065156149231e+02,-1.2168996175748500e+03
-4.6960122917383764e+01,-2.7522416361836639e+02,-1.0320906135688738e+03
-4.4487174121395817e+01,-2.0727862141593855e+02,-8.8093414101773885e+02
-4.1972593781271243e+01,-1.5921325284503081e+02,-7.5626295101389633e+02
-3.9481807277196879e+01,-1.2430321063265447e+02,-6.5259185582143596e+02
-3.7055062835953457e+01,-9.8387156550822326e+01,-5.6572615016722830e+02
-3.5682441781867418e+01,-5.4896064279796010e+03,-2.7448032139898005e+03
-3.9934664972808513e+01,-4.4838922074732363e+03,-2.8024326296707732e+03
-4.3238581311702369e+01,-3.7194478547700969e+03,-2.7895858910775723e+03
-4.5813354339608345e+01,-3.1258578653890554e+03,-2.7351256322154231e+03
-4.7817109801392093e+01,-2.6565061000773385e+03,-2.6565061000773385e+03
-5.0550555986609780e+01,-1.9727046238676985e+03,-2.4658807798346234e+03
-5.2783181868431299e+01,-1.1828164004130263e+03,-2.0699287007227958e+03
-5.2639080101299371e+01,-7.6705399054716747e+02,-1.7258714787311269e+03
-5.2783181868431299e+01,-1.1828164004130263e+03,-2.0699287007227958e+03
-5.2639080101299371e+01,-7.6705399054716747e+02,-1.7258714787311269e+03
-5.1281163123937844e+01,-5.2528720229385749e+02,-1.4445398063081082e+03
-4.9284434511781427e+01,-3.7443065156149231e+02,-1.2168996175748500e+03
-4.6960122917383764e+01,-2.7522416361836639e+02,-1.0320906135688738e+03
-4.4487174121395817e+01,-2.0727862141593855e+02,-8.8093414101773885e+02
-4.1972593781271243e+01,-1.5921325284503081e+02,-7.5626295101389633e+02
-3.9481807277196879e+01,-1.2430321063265447e+02,-6.5259185582143596e+02
-3.7055062835953457e+01,-9.8387156550822326e+01,-5.6572615016722830e+02
-3.5682441781867418e+01,-5.4896064279796010e+03,-2.7448032139898005e+03
-3.9934664972808513e+01,-4.4838922074732363e+03,-2.8024326296707732e+03
-4.3238581311702369e+01,-3.7194478547700969e+03,-2.7895858910775723e+03
-4.5813354339608345e+01,-3.1258578653890554e+03,-2.7351256322154231e+03
-4.7817109801392093e+01,-2.6565061000773385e+03,-2.6565061000773385e+03
-5.0550555986609780e+01,-1.9727046238676985e+03,-2.4658807798346234e+03
-5.2783181868431299e+01,-1.1828164004130263e+03,-2.0699287007227958e+03
-5.2639080101299371e+01,-7.6705399054716747e+02,-1.7258714787311269e+03
-5.2783181868431299e+01,-1.1828164004130263e+03,-2.0699287007227958e+03
-5.2639080101299371e+01,-7.6705399054716747e+02,-1.7258714787311269e+03
-5.1281163123937844e+01,-5.2528720229385749e+02,-1.4445398063081082e+03
-4.9284434511781427e+01,-3.7443065156149231e+02,-1.2168996175748500e+03
-4.6960122917383764e+01,-2.7522416361836639e+02,-1.0320906135688738e+03
-4.4487174121395817e+01,-2.0727862141593855e+02,-8.8093414101773885e+02
-4.1972593781271243e+01,-1.5921325284503081e+02,-7.5626295101389633e+02
-3.9481807277196879e+01,-1.2430321063265447e+02,-6.5259185582143596e+02
-3.7055062835953457e+01,-9.8387156550822326e+01,-5.6572615016722830e+02
-3.5682441781867418e+01,-5.4896064279796010e+03,-2.7448032139898005e+03
-3.9934664972808513e+01,-4.4838922074732363e+03,-2.8024326296707732e+03
-4.3238581311702369e+01,-3.7194478547700969e+03,-2.7895858910775723e+03
-4.5813354339608345e+01,-3.1258578653890554e+03,-2.7351256322154231e+03
-4.7817109801392093e+01,-2.6565061000773385e+03,-2.6565061000773385e+03
-5.0550555986609780e+01,-1.9727046238676985e+03,-2.4658807798346234e+03
-5.2783181868431299e+01,-1.1828164004130263e+03,-2.0699287007227958e+03
-5.2639080101299371e+01,-7.6705399054716747e+02,-1.7258714787311269e+03
-5.2783181868431299e+01,-1.1828164004130263e+03,-2.0699287007227958e+03
-5.2639080101299371e+01,-7.6705399054716747e+02,-1.7258714787311269e+03
-5.1281163123937844e+01,-5.2528720229385749e+02,-1.4445398063081082e+03
-4.9284434511781427e+01,-3.7443065156149231e+02,-1.2168996175748500e+03
-4.6960122917383764e+01,-2.7522416361836639e+02,-1.0320906135688738e+03
-4.4487174121395817e+01,-2.0727862141593855e+02,-8.8093414101773885e+02
-4.1972593781271243e+01,-1.5921325284503081e+02,-7.5626295101389633e+02
-3.9481807277196879e+01,-1.2430321063265447e+02,-6.5259185582143596e+02
-3.7055062835953457e+01,-9.8387156550822326e+01,-5.6572615016722830e+02
-3.5682441781867418e+01,-5.4896064279796010e+03,-2.7448032139898005e+03
-4.3238581311702369e+01,-3.7194478547700969e+03,-2.7895858910775723e+03
-5.2077144701698508e+01,-1.5094824551216959e+03,-2.2642236826825438e+03
-5.0339064601718952e+01,-4.4157074212034166e+02,-1.3247122263610249e+03
-5.0339064601718952e+01,-4.4157074212034166e+02,-1.3247122263610249e+03
-5.0339064601718952e+01,-4.4157074212034166e+02,-1.3247122263610249e+03
-3.5873793506523448e+01,-8.7925964476773160e+01,-5.2755578686063893e+02
-3.5682441781867418e+01,-5.4896064279796010e+03,-2.7448032139898005e+03
-4.3238581311702369e+01,-3.7194478547700969e+03,-2.7895858910775723e+03
-5.2077144701698508e+01,-1.5094824551216959e+03,-2.2642236826825438e+03
-5.0339064601718952e+01,-4.4157074212034166e+02,-1.3247122263610249e+03
-5.0339064601718952e+01,-4.4157074212034166e+02,-1.3247122263610249e+03
-5.0339064601718952e+01,-4.4157074212034166e+02,-1.3247122263610249e+03
-3.5873793506523448e+01,-8.7925964476773160e+01,-5.2755578686063893e+02
-3.5682441781867418e+01,-5.4896064279796010e+03,-2.7448032139898005e+03
-4.3238581311702369e+01,-3.7194478547700969e+03,-2.7895858910775723e+03
-5.2077144701698508e+01,-1.5094824551216959e+03,-2.2642236826825438e+03
-5.0339064601718952e+01,-4.4157074212034166e+02,-1.3247122263610249e+03
-5.0339064601718952e+01,-4.4157074212034166e+02,-1.3247122263610249e+03
-5.0339064601718952e+01,-4.4157074212034166e+02,-1.3247122263610249e+03
-3.5873793506523448e+01,-8.7925964476773160e+01,-5.2755578686063893e+02
-3.5682441781867418e+01,-5.4896064279796010e+03,-2.7448032139898005e+03
-4.3238581311702369e+01,-3.7194478547700969e+03,-2.7895858910775723e+03
-5.2077144701698508e+01,-1.5094824551216959e+03,-2.2642236826825438e+03
-5.0339064601718952e+01,-4.4157074212034166e+02,-1.3247122263610249e+03
-3.5873793506523448e+01,-8.7925964476773160e+01,-5.2755578686063893e+02
-5.0339064601718952e+01,-4.4157074212034166e+02,-1.3247122263610249e+03
-5.0339064601718952e+01,-4.4157074212034166e+02,-1.3247122263610249e+03
-3.5873793506523448e+01,-8.7925964476773160e+01,-5.2755578686063893e+02
-3.5682441781867418e+01,-5.4896064279796010e+03,-2.7448032139898005e+03
-4.3238581311702369e+01,-3.7194478547700969e+03,-2.7895858910775723e+03
-4.7817109801392093e+01,-2.6565061000773385e+03,-2.6565061000773385e+03
-5.2077144701698508e+01,-1.5094824551216959e+03,-2.2642236826825438e+03
-5.2915587191551275e+01,-9.4492119984912983e+02,-1.8898423996982597e+03
-5.2915587191551275e+01,-9.4492119984912983e+02,-1.8898423996982597e+03
-5.2067369605376683e+01,-6.3111963158032336e+02,-1.5777990789508085e+03
-5.0339064601718952e+01,-4.4157074212034166e+02,-1.3247122263610249e+03
-4.5734303007835528e+01,-2.3819949483247672e+02,-9.5279797932990687e+02
-4.0721254546639194e+01,-1.4041811912634205e+02,-7.0209059563171024e+02
-3.5873793506523448e+01,-8.7925964476773160e+01,-5.2755578686063893e+02
-3.5682441781867418e+01,-5.4896064279796010e+03,-2.7448032139898005e+03
-4.3238581311702369e+01,-3.7194478547700969e+03,-2.7895858910775723e+03
-4.7817109801392093e+01,-2.6565061000773385e+03,-2.6565061000773385e+03
-5.2077144701698508e+01,-1.5094824551216959e+03,-2.2642236826825438e+03
-5.2915587191551275e+01,-9.4492119984912983e+02,-1.8898423996982597e+03
-5.2915587191551275e+01,-9.4492119984912983e+02,-1.8898423996982597e+03
-5.2067369605376683e+01,-6.3111963158032336e+02,-1.5777990789508085e+03
-5.0339064601718952e+01,-4.4157074212034166e+02,-1.3247122263610249e+03
-4.5734303007835528e+01,-2.3819949483247672e+02,-9.5279797932990687e+02
-4.0721254546639194e+01,-1.4041811912634205e+02,-7.0209059563171024e+02
-3.5873793506523448e+01,-8.7925964476773160e+01,-5.2755578686063893e+02
-3.5682441781867418e+01,-5.4896064279796010e+03,-2.7448032139898005e+03
-4.3238581311702369e+01,-3.7194478547700969e+03,-2.7895858910775723e+03
-4.7817109801392093e+01,-2.6565061000773385e+03,-2.6565061000773385e+03
-5.2077144701698508e+01,-1.5094824551216959e+03,-2.2642236826825438e+03
-5.2915587191551275e+01,-9.4492119984912983e+02,-1.8898423996982597e+03
-5.2915587191551275e+01,-9.4492119984912983e+02,-1.8898423996982597e+03
-5.2067369605376683e+01,-6.3111963158032336e+02,-1.5777990789508085e+03
-5.0339064601718952e+01,-4.4157074212034166e+02,-1.3247122263610249e+03
-4.5734303007835528e+01,-2.3819949483247672e+02,-9.5279797932990687e+02
-4.0721254546639194e+01,-1.4041811912634205e+02,-7.0209059563171024e+02
-3.5873793506523448e+01,-8.7925964476773160e+01,-5.2755578686063893e+02
-3.5682441781867418e+01,-5.4896064279796010e+03,-2.7448032139898005e+03
-3.9934664972808513e+01,-4.4838922074732363e+03,-2.8024326296707732e+03
-4.3238581311702369e+01,-3.7194478547700969e+03,-2.7895858910775723e+03
-4.5813354339608345e+01,-3.1258578653890554e+03,-2.7351256322154231e+03
-4.7817109801392093e+01,-2.6565061000773385e+03,-2.6565061000773385e+03
-5.0550555986609780e+01,-1.9727046238676985e+03,-2.4658807798346234e+03
-5.2639080101299371e+01,-7.6705399054716747e+02,-1.7258714787311269e+03
-5.2639080101299371e+01,-7.6705399054716747e+02,-1.7258714787311269e+03
-5.1281163123937844e+01,-5.2528720229385749e+02,-1.4445398063081082e+03
-4.9284434511781427e+01,-3.7443065156149231e+02,-1.2168996175748500e+03
-4.6960122917383764e+01,-2.7522416361836639e+02,-1.0320906135688738e+03
-4.4487174121395817e+01,-2.0727862141593855e+02,-8.8093414101773885e+02
-4.1972593781271243e+01,-1.5921325284503081e+02,-7.5626295101389633e+02
-3.9481807277196879e+01,-1.2430321063265447e+02,-6.5259185582143596e+02
-3.7055062835953457e+01,-9.8387156550822326e+01,-5.6572615016722830e+02
-5.0339064601718952e+01,-4.4157074212034166e+02,-1.3247122263610249e+03
-5.0339064601718952e+01,-4.4157074212034166e+02,-1.3247122263610249e+03
-5.0339064601718952e+01,-4.4157074212034166e+02,-1.3247122263610249e+03
-5.0339064601718952e+01,-4.4157074212034166e+02,-1.3247122263610249e+03
