x,y
5.0000000000000000e-01,9.2900000000000006e+01
1.0000000000000000e+00,5.7100000000000001e+01
1.7500000000000000e+00,3.1050000000000001e+01
3.7500000000000000e+00,1.1587500000000000e+01
5.7500000000000000e+00,8.0250000000000004e+00
8.7500000000000000e-01,6.3600000000000001e+01
2.2500000000000000e+00,2.1399999999999999e+01
3.2500000000000000e+00,1.4250000000000000e+01
5.2500000000000000e+00,8.4749999999999996e+00
7.5000000000000000e-01,6.3799999999999997e+01
1.7500000000000000e+00,2.6800000000000001e+01
2.7500000000000000e+00,1.6462499999999999e+01
4.7500000000000000e+00,7.1250000000000000e+00
6.2500000000000000e-01,6.7299999999999997e+01
1.2500000000000000e+00,4.1000000000000000e+01
2.2500000000000000e+00,2.1149999999999999e+01
4.2500000000000000e+00,8.1750000000000007e+00
5.0000000000000000e-01,8.1500000000000000e+01
3.0000000000000000e+00,1.3119999999999999e+01
7.5000000000000000e-01,5.9899999999999999e+01
3.0000000000000000e+00,1.4619999999999999e+01
1.5000000000000000e+00,3.2899999999999999e+01
6.0000000000000000e+00,5.4400000000000004e+00
3.0000000000000000e+00,1.2560000000000000e+01
6.0000000000000000e+00,5.4400000000000004e+00
1.5000000000000000e+00,3.2000000000000000e+01
3.0000000000000000e+00,1.3949999999999999e+01
5.0000000000000000e-01,7.5799999999999997e+01
2.0000000000000000e+00,2.0000000000000000e+01
4.0000000000000000e+00,1.0420000000000000e+01
7.5000000000000000e-01,5.9500000000000000e+01
2.0000000000000000e+00,2.1670000000000002e+01
5.0000000000000000e+00,8.5500000000000007e+00
7.5000000000000000e-01,6.2000000000000000e+01
2.2500000000000000e+00,2.0199999999999999e+01
3.7500000000000000e+00,7.7599999999999998e+00
5.7500000000000000e+00,3.7500000000000000e+00
3.0000000000000000e+00,1.1810000000000000e+01
7.5000000000000000e-01,5.4700000000000003e+01
2.5000000000000000e+00,2.3699999999999999e+01
4.0000000000000000e+00,1.1550000000000001e+01
7.5000000000000000e-01,6.1299999999999997e+01
2.5000000000000000e+00,1.7699999999999999e+01
4.0000000000000000e+00,8.7400000000000002e+00
7.5000000000000000e-01,5.9200000000000003e+01
2.5000000000000000e+00,1.6300000000000001e+01
4.0000000000000000e+00,8.6199999999999992e+00
5.0000000000000000e-01,8.1000000000000000e+01
6.0000000000000000e+00,4.8700000000000001e+00
3.0000000000000000e+00,1.4619999999999999e+01
5.0000000000000000e-01,8.1700000000000003e+01
2.7500000000000000e+00,1.7170000000000002e+01
5.0000000000000000e-01,8.1299999999999997e+01
1.7500000000000000e+00,2.8899999999999999e+01
