j1,j2,j3
-4.0927873072275133e+01,-7.2823241535329853e+03,-3.6411620767664926e+03
-4.8890642479653486e+01,-2.8235456618043759e+03,-2.8235456618043759e+03
-4.9473830056019544e+01,-1.0697339766534305e+03,-1.8720344591435032e+03
-3.9581959301271525e+01,-2.0807481399167540e+02,-7.8028055246878273e+02
-2.9408379899570129e+01,-6.8168013523908002e+01,-3.9196607776247106e+02
-4.7878928681013875e+01,-3.4639622719727568e+03,-3.0309669879761618e+03
-4.7587036001812514e+01,-6.5070592180550830e+02,-1.4640883240623937e+03
-4.2356332121979520e+01,-2.9186752775307048e+02,-9.4856946519747908e+02
-3.1754444097441933e+01,-8.7718841285127482e+01,-4.6052391674691927e+02
-4.6359786407798090e+01,-4.3293013907394898e+03,-3.2469760430546180e+03
-4.9473830056019544e+01,-1.0697339766534305e+03,-1.8720344591435032e+03
-4.5086917125255937e+01,-4.2499110675906212e+02,-1.1687255435874208e+03
-3.4242466248909025e+01,-1.1464989326834002e+02,-5.4458699302461514e+02
-4.4141385079696512e+01,-5.5353674717674694e+03,-3.4596046698546688e+03
-4.9871895967273851e+01,-1.9602925536263535e+03,-2.4503656920329422e+03
-4.7587036001812514e+01,-6.5070592180550830e+02,-1.4640883240623937e+03
-3.6860361887408835e+01,-1.5268643929857834e+02,-6.4891736701895798e+02
-4.0927873072275133e+01,-7.2823241535329853e+03,-3.6411620767664926e+03
-4.3735864871066269e+01,-3.5031836756740302e+02,-1.0509551027022089e+03
-4.6359786407798090e+01,-4.3293013907394898e+03,-3.2469760430546180e+03
-4.3735864871066269e+01,-3.5031836756740302e+02,-1.0509551027022089e+03
-4.9950488365820696e+01,-1.4236785741873912e+03,-2.1355178612810869e+03
-2.8289994235032569e+01,-6.0398086068349102e+01,-3.6238851641009461e+02
-4.3735864871066269e+01,-3.5031836756740302e+02,-1.0509551027022089e+03
-2.8289994235032569e+01,-6.0398086068349102e+01,-3.6238851641009461e+02
-4.9950488365820696e+01,-1.4236785741873912e+03,-2.1355178612810869e+03
-4.3735864871066269e+01,-3.5031836756740302e+02,-1.0509551027022089e+03
-4.0927873072275133e+01,-7.2823241535329853e+03,-3.6411620767664926e+03
-4.8644286399724322e+01,-8.2544917041091810e+02,-1.6508983408218362e+03
-3.8210625495227823e+01,-1.7767307455489856e+02,-7.1069229821959425e+02
-4.6359786407798090e+01,-4.3293013907394898e+03,-3.2469760430546180e+03
-4.8644286399724322e+01,-8.2544917041091810e+02,-1.6508983408218362e+03
-3.2981219713435500e+01,-1.0007141706421640e+02,-5.0035708532108197e+02
-4.6359786407798090e+01,-4.3293013907394898e+03,-3.2469760430546180e+03
-4.7587036001812514e+01,-6.5070592180550830e+02,-1.4640883240623937e+03
-3.9581959301271525e+01,-2.0807481399167540e+02,-7.8028055246878273e+02
-2.9408379899570129e+01,-6.8168013523908002e+01,-3.9196607776247106e+02
-4.3735864871066269e+01,-3.5031836756740302e+02,-1.0509551027022089e+03
-4.6359786407798090e+01,-4.3293013907394898e+03,-3.2469760430546180e+03
-4.6383127646863947e+01,-5.2203348288469942e+02,-1.3050837072117483e+03
-3.8210625495227823e+01,-1.7767307455489856e+02,-7.1069229821959425e+02
-4.6359786407798090e+01,-4.3293013907394898e+03,-3.2469760430546180e+03
-4.6383127646863947e+01,-5.2203348288469942e+02,-1.3050837072117483e+03
-3.8210625495227823e+01,-1.7767307455489856e+02,-7.1069229821959425e+02
-4.6359786407798090e+01,-4.3293013907394898e+03,-3.2469760430546180e+03
-4.6383127646863947e+01,-5.2203348288469942e+02,-1.3050837072117483e+03
-3.8210625495227823e+01,-1.7767307455489856e+02,-7.1069229821959425e+02
-4.0927873072275133e+01,-7.2823241535329853e+03,-3.6411620767664926e+03
-2.8289994235032569e+01,-6.0398086068349102e+01,-3.6238851641009461e+02
-4.3735864871066269e+01,-3.5031836756740302e+02,-1.0509551027022089e+03
-4.0927873072275133e+01,-7.2823241535329853e+03,-3.6411620767664926e+03
-4.5086917125255937e+01,-4.2499110675906212e+02,-1.1687255435874208e+03
-4.0927873072275133e+01,-7.2823241535329853e+03,-3.6411620767664926e+03
-4.9473830056019544e+01,-1.0697339766534305e+03,-1.8720344591435032e+03
