x,y
4.0000000000000000e+02,1.5750000000000001e-04
4.0500000000000000e+02,1.6990000000000001e-04
4.1000000000000000e+02,2.3499999999999999e-04
4.1500000000000000e+02,3.1020000000000000e-04
4.2000000000000000e+02,4.9169999999999997e-04
4.2500000000000000e+02,8.7100000000000003e-04
4.3000000000000000e+02,1.7417999999999999e-03
4.3500000000000000e+02,4.6400000000000000e-03
4.3650000000000000e+02,6.5894999999999999e-03
4.3800000000000000e+02,9.7301999999999996e-03
4.3950000000000000e+02,1.4900200000000001e-02
4.4100000000000000e+02,2.3730999999999999e-02
4.4250000000000000e+02,4.0168299999999997e-02
4.4400000000000000e+02,7.1255899999999997e-02
4.4550000000000000e+02,1.2644580000000000e-01
4.4700000000000000e+02,2.0734130000000001e-01
4.4850000000000000e+02,2.9023660000000001e-01
4.5000000000000000e+02,3.4456229999999999e-01
4.5150000000000000e+02,3.6980489999999999e-01
4.5300000000000000e+02,3.6685340000000000e-01
4.5450000000000000e+02,3.1067270000000002e-01
4.5600000000000000e+02,2.0781540000000001e-01
4.5750000000000000e+02,1.1643539999999999e-01
4.5900000000000000e+02,6.1676399999999999e-02
4.6050000000000000e+02,3.3720000000000000e-02
4.6200000000000000e+02,1.9402300000000001e-02
4.6350000000000000e+02,1.1783099999999999e-02
4.6500000000000000e+02,7.4356999999999999e-03
4.7000000000000000e+02,2.2732000000000000e-03
4.7500000000000000e+02,8.8000000000000003e-04
4.8000000000000000e+02,4.5790000000000002e-04
4.8500000000000000e+02,2.3450000000000001e-04
4.9000000000000000e+02,1.5860000000000001e-04
4.9500000000000000e+02,1.1430000000000000e-04
5.0000000000000000e+02,7.1000000000000005e-05
