j1,j2,j3
7.6691172474480512e-36,4.6033393555411523e-34,-3.6750177969451800e-35
1.7964548597653541e-29,8.7798456335248968e-28,-7.7734434921971685e-29
9.4333751595300621e-24,3.6657061937339978e-22,-3.6433905292277230e-23
1.1104468326258318e-18,3.3292918845556724e-17,-3.7725949773874759e-18
2.9302744531299779e-14,6.5172584171299112e-13,-8.5930265375610039e-14
1.7333996071829275e-10,2.7106223564854792e-09,-4.2773908709072187e-10
2.2986293869291846e-07,2.3379398714635172e-06,-4.6036108763203052e-07
6.8331205302953207e-05,3.9914625715693503e-04,-1.0508626736707979e-04
2.8179104864322583e-04,1.3424934233476583e-03,-3.9406657541292644e-04
1.0157515483307470e-03,3.8489530643534306e-03,-1.2788058814769854e-03
3.2003684524490430e-03,9.3345477148657312e-03,-3.5828597136909500e-03
8.8138297302501455e-03,1.8918684975379921e-02,-8.6380329723935063e-03
2.1216879992043403e-02,3.1370578907623299e-02,-1.7834784664674377e-02
4.4642712176417743e-02,4.0757886812231192e-02,-3.1300514785499951e-02
8.2105416938174899e-02,3.6924045069532903e-02,-4.6116436182480965e-02
1.3199127928960702e-01,1.1717314693103815e-02,-5.5728457042583272e-02
1.8546879632098273e-01,-3.1501029888953841e-02,-5.2441832203381951e-02
2.2779734426923803e-01,-7.4294153745758471e-02,-3.2641660330165842e-02
2.4455618322564557e-01,-9.2959372933293580e-02,-9.3719418820794958e-04
2.2948844690483028e-01,-7.6136209395971086e-02,3.1125080243263690e-02
1.8823275288470800e-01,-3.4087510585737335e-02,5.1780648499667702e-02
1.3495275307157228e-01,9.7035142679494524e-03,5.5944491805790288e-02
8.4570810263757609e-02,3.6130450473406225e-02,4.6852993602888221e-02
4.6324572726121588e-02,4.0990871443308902e-02,3.2124671755374458e-02
2.2179642461559654e-02,3.2045730961960624e-02,1.8474082403088350e-02
9.2821770421190209e-03,1.9558596759185809e-02,9.0258960636006493e-03
3.3954500198927857e-03,9.7507909667132568e-03,3.7752321542004938e-03
1.0856679685298674e-03,4.0589381918280116e-03,1.3585078651249143e-03
9.1813430022547075e-06,6.7642887716166960e-05,1.5756822067281238e-05
1.7405851176762061e-08,2.1118732009747657e-07,3.7962963312098811e-08
7.3971459101704945e-12,1.3341297490293943e-10,1.9572210390963271e-11
7.0471411560711309e-16,1.7670897703075710e-14,2.1922116442672810e-15
1.5050177492404900e-20,5.0044438957842759e-19,5.3814155673961121e-20
7.2052679953757420e-26,3.0669297177570332e-24,2.9113007534918797e-25
7.7328310495523856e-32,4.0995912389281489e-30,3.4839378559786237e-31
