j1,j2,j3
1.9287498479639179e-23,1.9094623494842787e-22,-1.9287498479639176e-23
2.5261637809256925e-21,2.2546011744761805e-20,-2.3998555918794080e-21
2.5767571091549811e-19,2.0614056873239849e-18,-2.3190813982394829e-19
2.0469717131642043e-17,1.4584673456294955e-16,-1.7399259561895737e-17
1.2664165549094175e-15,7.9784242959293302e-15,-1.0131332439275341e-15
6.1019366776053239e-14,3.3713200143769412e-13,-4.5764525082039929e-14
2.2897348456455530e-12,1.0990727259098654e-11,-1.6028143919518871e-12
6.6915860912927810e-11,2.7602792626582724e-10,-4.3495309593403085e-11
1.7542051300097473e-10,6.8979731224808288e-10,-1.1139202575561896e-10
4.4963494622808702e-10,1.6834332386779578e-09,-2.7877366666141392e-10
1.1268551998273232e-09,4.0118862251852276e-09,-6.8174739589553057e-10
2.7612424568280350e-09,9.3357607465355863e-09,-1.6291330495285406e-09
6.6156016376977008e-09,2.1211272750868252e-08,-3.8039709416761778e-09
1.5497531357028967e-08,4.7050505199939943e-08,-8.6786175599362217e-09
3.5496380869713205e-08,1.0188348719129431e-07,-1.9345527573993698e-08
7.9493936153491413e-08,2.1534907303980820e-07,-4.2131786161350440e-08
1.7406533964932969e-07,4.4425826312000168e-07,-8.9643649919404808e-08
3.7266531720786709e-07,8.9439676129888094e-07,-1.8633265860393352e-07
7.8010673023108394e-07,1.7569953831629587e-06,-3.7835176416207572e-07
1.5966783897804747e-06,3.3673947240470214e-06,-7.5043884319682306e-07
3.1952823774423041e-06,6.2955051041556991e-06,-1.4538534817362483e-06
6.2521503774820260e-06,1.1478948093056999e-05,-2.7509461660920913e-06
1.1961288358102437e-05,2.0408948261012283e-05,-5.0835475521935354e-06
2.2374579372062055e-05,3.5374209987230109e-05,-9.1735775425454433e-06
4.0922313022817890e-05,5.9756807591569819e-05,-1.6164313644013064e-05
7.3180241888047272e-05,9.8354245097535530e-05,-2.7808491917457965e-05
1.2795459378999238e-04,1.5767204819771812e-04,-4.6703426733347216e-05
2.1874911181828850e-04,2.4609275079557458e-04,-7.6562189136400975e-05
1.1108996538242307e-03,8.8871972305938456e-04,-3.3326989614726921e-04
4.3936933623407422e-03,2.3066890152288896e-03,-1.0984233405851856e-03
1.3533528323661271e-02,4.0600584970983808e-03,-2.7067056647322538e-03
3.2465246735834973e-02,4.0581558419793716e-03,-4.8697870103752462e-03
6.0653065971263340e-02,0.0000000000000000e+00,-6.0653065971263340e-03
8.8249690258459551e-02,-6.6187267693844660e-03,-4.4124845129229770e-03
1.0000000000000001e-01,-1.0000000000000000e-02,0.0000000000000000e+00
