j1,j2,j3,j4,j5,j6,j7,j8,j9
1.0000000000000000e+00,8.6602540378443871e-01,4.9999999999999994e-01,-2.3989298856403832e-03,9.8996361986549020e-01,1.4132243750662973e-01,-1.2227014385897688e-02,9.7282009260679136e-01,2.3156223228435582e-01
1.0000000000000000e+00,5.0000000000000011e-01,8.6602540378443860e-01,-6.1358865503358508e-03,9.6005593731436945e-01,2.7980814360455536e-01,-2.1562992965423234e-02,8.9275786515897204e-01,4.5053678451020468e-01
1.0000000000000000e+00,6.1232339957367660e-17,1.0000000000000000e+00,-1.1026123724442217e-02,9.1087728208868846e-01,4.1267732791458744e-01,-2.6249695282814799e-02,7.6416548551199381e-01,6.4502024057561080e-01
1.0000000000000000e+00,-4.9999999999999983e-01,8.6602540378443871e-01,-1.6836123846884498e-02,8.4341480554514503e-01,5.3726293915293022e-01,-2.4970630058294710e-02,5.9403321160641076e-01,8.0444051582983633e-01
1.0000000000000000e+00,-8.6602540378443871e-01,4.9999999999999994e-01,-2.3291002395843342e-02,7.5902266580255207e-01,6.5106420021222744e-01,-1.6980334476375803e-02,3.9160940234092251e-01,9.2013155363686205e-01
1.0000000000000000e+00,-1.0000000000000000e+00,1.2246467991473532e-16,-3.0083202330676958e-02,6.5939484605055221e-01,7.5179680566092366e-01,-2.1892002512832339e-03,1.6789777849556237e-01,9.8580441060904933e-01
1.0000000000000000e+00,-8.6602540378443882e-01,-4.9999999999999978e-01,-3.6882240357472784e-02,5.4653115163115251e-01,8.3743877405857325e-01,1.8803172954153759e-02,-6.4940737491867684e-02,9.9788912240489536e-01
1.0000000000000000e+00,-5.0000000000000044e-01,-8.6602540378443837e-01,-4.3345237668886705e-02,4.2269706842550958e-01,9.0627103470456349e-01,4.4729458135946497e-02,-2.9424908701714647e-01,9.5572876632943082e-01
1.0000000000000000e+00,-1.8369701987210297e-16,-1.0000000000000000e+00,-4.9127945553146729e-02,2.9037828829894374e-01,9.5691193413217268e-01,7.3730352029729912e-02,-5.0756211067110057e-01,8.6161517153024725e-01
1.0000000000000000e+00,5.0000000000000011e-01,-8.6602540378443860e-01,-5.3895961394664599e-02,1.5223081440402517e-01,9.8834496970738273e-01,1.0348010597338508e-01,-6.9328415199637095e-01,7.2066433558951204e-01
1.0000000000000000e+00,8.6602540378443837e-01,-5.0000000000000044e-01,-5.7335823497284992e-02,1.1027647866016968e-02,9.9993919364256501e-01,1.3135368310417261e-01,-8.4131939522475963e-01,5.4053831984295508e-01
1.0000000000000000e+00,1.0000000000000000e+00,-2.4492935982947064e-16,-5.9165674058783022e-02,-1.3039687400393718e-01,9.9146187786016327e-01,1.5462424118461651e-01,-9.4362067195251009e-01,3.3102874114477315e-01
1.0000000000000000e+00,8.6602540378443860e-01,5.0000000000000000e-01,-5.9145188524588707e-02,-2.6920397068218072e-01,9.6308318548760241e-01,1.7067722775373095e-01,-9.9462690372428741e-01,1.0352450138898042e-01
1.0000000000000000e+00,5.0000000000000056e-01,8.6602540378443837e-01,-5.7084486266599545e-02,-4.0260740059345224e-01,9.1537275521362527e-01,1.7722586904813753e-01,-9.9156540122802461e-01,-1.2960731108817306e-01
1.0000000000000000e+00,1.1943401194869635e-15,1.0000000000000000e+00,-5.2851761693779246e-02,-5.2792938867007833e-01,8.4928826706745297e-01,1.7251235079236540e-01,-9.3460258717238687e-01,-3.5569369413960789e-01
1.0000000000000000e+00,-4.9999999999999922e-01,8.6602540378443915e-01,-4.6379405945522388e-02,-6.4265437668896019e-01,7.6615621913714449e-01,1.5547957594971232e-01,-8.2683494957915160e-01,-5.6244463385691745e-01
1.0000000000000000e+00,-8.6602540378443882e-01,4.9999999999999978e-01,-3.7668426515760994e-02,-7.4447951746872820e-01,6.6764530109147746e-01,1.2590002031727973e-01,-6.7412071726785661e-01,-7.3862118745015060e-01
1.0000000000000000e+00,-1.0000000000000000e+00,3.6739403974420594e-16,-2.6791014620374292e-02,-8.3136089936915103e-01,5.5573289897226386e-01,8.4450800543227178e-02,-4.8476140762219494e-01,-8.7464643009626930e-01
1.0000000000000000e+00,-8.6602540378443915e-01,-4.9999999999999917e-01,-1.3891156833665643e-02,-9.0155457323950006e-01,4.3266540359837297e-01,3.2727465530838350e-02,-2.6905055764258745e-01,-9.6312605479875413e-01
1.0000000000000000e+00,-4.9999999999999983e-01,-8.6602540378443871e-01,8.1676264753313395e-04,-9.5365155829177450e-01,3.0091311930135295e-01,-2.6806989039501405e-02,-3.8714169181345730e-02,-9.9925032554640592e-01
1.0000000000000000e+00,-4.2862637970157361e-16,-1.0000000000000000e+00,1.7051371013746281e-02,-9.8660612423428107e-01,1.6312067809879391e-01,-9.0937054778331000e-02,1.9372671434620312e-01,-9.8105553367208764e-01
1.0000000000000000e+00,4.9999999999999911e-01,-8.6602540378443915e-01,3.4469676649011641e-02,-9.9975678196508622e-01,2.2053954629838321e-02,-1.5586837578212778e-01,4.1563664956271035e-01,-9.0953074469216522e-01
1.0000000000000000e+00,8.6602540378443782e-01,-5.0000000000000144e-01,5.2674297529171632e-02,-9.9283956148417973e-01,-1.1945545258338629e-01,-2.1745076593304746e-01,6.1495265349054329e-01,-7.8856403288822385e-01
1.0000000000000000e+00,1.0000000000000000e+00,-4.8985871965894128e-16,7.1222396221193265e-02,-9.6599331050000270e-01,-2.5856705913407735e-01,-2.7143754422688721e-01,7.8083994507221355e-01,-6.2473112630924876e-01
1.0000000000000000e+00,8.6602540378443826e-01,5.0000000000000056e-01,8.9636122894778486e-02,-9.1975690737268234e-01,-3.9248851109330463e-01,-3.1376525704473929e-01,9.0428092186192244e-01,-4.2693795141279223e-01
1.0000000000000000e+00,4.9999999999999994e-01,8.6602540378443871e-01,1.0741432553228281e-01,-8.5505844433789513e-01,-5.1853163526101154e-01,-3.4083592496419057e-01,9.7856535522432597e-01,-2.0593650855224460e-01
1.0000000000000000e+00,5.5109105961630896e-16,1.0000000000000000e+00,1.2404524975767132e-01,-7.7319659813391306e-01,-6.3416639822222065e-01,-3.4978313580394321e-01,9.9965515712033048e-01,2.6259604770964506e-02
1.0000000000000000e+00,-4.9999999999999900e-01,8.6602540378443926e-01,1.3901992036528654e-01,-6.7581456197476686e-01,-7.3707169110124826e-01,-3.3870368635589321e-01,9.6640388982498704e-01,2.5702825084245945e-01
1.0000000000000000e+00,-8.6602540378443860e-01,5.0000000000000000e-01,1.5184587353386375e-01,-5.6486706212678872e-01,-8.2518192062371953e-01,-3.0683805901915673e-01,8.8061908606988359e-01,4.7382488880328233e-01
1.0000000000000000e+00,-1.0000000000000000e+00,2.3886802389739270e-15,1.6206089351302003e-01,-4.4258112115687481e-01,-8.9672847127518129e-01,-2.5468573592867533e-01,7.4696399189863816e-01,6.6486449356756239e-01
1.0000000000000000e+00,-8.6602540378443926e-01,-4.9999999999999895e-01,1.6924640073719341e-01,-3.1141135544238430e-01,-9.5027520629633233e-01,-1.8404505803555554e-01,5.7270407347565933e-01,8.1976218760344555e-01
1.0000000000000000e+00,-5.0000000000000155e-01,-8.6602540378443771e-01,1.7304014012821400e-01,-1.7399070424504828e-01,-9.8474729491190383e-01,-9.7971819710256924e-02,3.6731206769111613e-01,9.3009776095229735e-01
1.0000000000000000e+00,1.1028010998692062e-15,-1.0000000000000000e+00,1.7314782886027730e-01,-3.3077579352363523e-02,-9.9945278715114305e-01,-6.5578636946124155e-04,1.4195304593806862e-01,9.8987339228252047e-01
1.0000000000000000e+00,5.0000000000000044e-01,-8.6602540378443837e-01,1.6935344193999058e-01,1.0849950386094070e-01,-9.9409650319369380e-01,1.0278046975567776e-01,-9.1122517100540965e-02,9.9583968934626299e-01
1.0000000000000000e+00,8.6602540378443860e-01,-5.0000000000000011e-01,1.6152784125270081e-01,2.4789870254393670e-01,-9.6878595844336679e-01,2.0655092592179966e-01,-3.1924467698669129e-01,9.4767232534017953e-01
1.0000000000000000e+00,1.0000000000000000e+00,-7.3478807948841188e-16,1.4963548869740878e-01,3.8232188999976724e-01,-9.2402920539721356e-01,3.0452951007569401e-01,-5.3001275536029635e-01,8.4798966925039043e-01
1.0000000000000000e+00,8.6602540378443926e-01,4.9999999999999883e-01,1.3373902593974937e-01,5.0907082181203389e-01,-8.6072463562954937e-01,3.9060948453405309e-01,-7.1196943851807692e-01,7.0221045179935493e-01
1.0000000000000000e+00,5.0000000000000167e-01,8.6602540378443771e-01,1.1400155124532897e-01,6.2560129705811407e-01,-7.8014294659325434e-01,4.5907784255846662e-01,-8.5522359486442545e-01,5.1825920424742011e-01
1.0000000000000000e+00,2.5723772588460301e-15,1.0000000000000000e+00,9.0686476749449629e-02,7.2957422744435974e-01,-6.8390163521442593e-01,5.0498205891421633e-01,-9.5198795499296984e-01,3.0613548234123944e-01
1.0000000000000000e+00,-5.0000000000000033e-01,8.6602540378443849e-01,6.4154906178349860e-02,8.1890258926465953e-01,-5.7393253026434776e-01,5.2446620330269123e-01,-9.9700242620919632e-01,7.7370292315436712e-02
1.0000000000000000e+00,-8.6602540378443671e-01,5.0000000000000333e-01,3.4860532161819426e-02,8.9179331572696985e-01,-4.5244301522368219e-01,5.1505450919944429e-01,-9.8782003019508191e-01,-1.5560073247060066e-01
1.0000000000000000e+00,-1.0000000000000000e+00,8.5725275940314722e-16,3.3421124928682926e-03,9.4678328875317930e-01,-3.2187172000303765e-01,4.7586296283226420e-01,-9.2493992029724925e-01,-3.8011333025890870e-01
