x,y
1.0000000000000000e+00,9.7622270000000000e+01
2.0000000000000000e+00,9.7807239999999993e+01
3.0000000000000000e+00,9.6622470000000007e+01
4.0000000000000000e+00,9.2590220000000002e+01
5.0000000000000000e+00,9.1238690000000005e+01
6.0000000000000000e+00,9.5327039999999997e+01
7.0000000000000000e+00,9.0350399999999993e+01
8.0000000000000000e+00,8.9462350000000001e+01
9.0000000000000000e+00,9.1725200000000001e+01
1.0000000000000000e+01,8.9869159999999994e+01
1.1000000000000000e+01,8.6880759999999995e+01
1.2000000000000000e+01,8.5943600000000004e+01
1.3000000000000000e+01,8.7606859999999998e+01
1.4000000000000000e+01,8.6258390000000006e+01
1.5000000000000000e+01,8.0749759999999995e+01
1.6000000000000000e+01,8.3035510000000002e+01
1.7000000000000000e+01,8.8258369999999999e+01
1.8000000000000000e+01,8.2013159999999999e+01
1.9000000000000000e+01,8.2740979999999993e+01
2.0000000000000000e+01,8.3300340000000006e+01
2.1000000000000000e+01,8.1278499999999994e+01
2.2000000000000000e+01,8.1855059999999995e+01
2.3000000000000000e+01,8.0751949999999994e+01
2.4000000000000000e+01,8.0095730000000003e+01
2.5000000000000000e+01,8.1076329999999999e+01
2.6000000000000000e+01,7.8815420000000003e+01
2.7000000000000000e+01,7.8385959999999997e+01
2.8000000000000000e+01,7.9933859999999996e+01
2.9000000000000000e+01,7.9484740000000002e+01
3.0000000000000000e+01,7.9959419999999994e+01
3.1000000000000000e+01,7.6106909999999999e+01
3.2000000000000000e+01,7.8398300000000006e+01
3.3000000000000000e+01,8.1430599999999998e+01
3.4000000000000000e+01,8.2488669999999999e+01
3.5000000000000000e+01,8.1654619999999994e+01
3.6000000000000000e+01,8.0843230000000005e+01
3.7000000000000000e+01,8.8686629999999994e+01
3.8000000000000000e+01,8.4744380000000007e+01
3.9000000000000000e+01,8.6839340000000007e+01
4.0000000000000000e+01,8.5977390000000000e+01
4.1000000000000000e+01,9.1285089999999997e+01
4.2000000000000000e+01,9.7224109999999996e+01
4.3000000000000000e+01,9.3517330000000001e+01
4.4000000000000000e+01,9.4101590000000002e+01
4.5000000000000000e+01,1.0191759999999999e+02
4.6000000000000000e+01,9.8431340000000006e+01
4.7000000000000000e+01,1.1042140000000001e+02
4.8000000000000000e+01,1.0766280000000000e+02
4.9000000000000000e+01,1.1172880000000001e+02
5.0000000000000000e+01,1.1651150000000000e+02
5.1000000000000000e+01,1.2076090000000001e+02
5.2000000000000000e+01,1.2395529999999999e+02
5.3000000000000000e+01,1.2424370000000000e+02
5.4000000000000000e+01,1.3079960000000000e+02
5.5000000000000000e+01,1.3329599999999999e+02
5.6000000000000000e+01,1.3077879999999999e+02
5.7000000000000000e+01,1.3205650000000000e+02
5.8000000000000000e+01,1.3865840000000000e+02
5.9000000000000000e+01,1.4292519999999999e+02
6.0000000000000000e+01,1.4272149999999999e+02
6.1000000000000000e+01,1.4412490000000000e+02
6.2000000000000000e+01,1.4743770000000001e+02
6.3000000000000000e+01,1.4826470000000000e+02
6.4000000000000000e+01,1.5205189999999999e+02
