j1,j2,j3,j4,j5,j6,j7,j8
9.9104037877288365e-01,-9.5139876362196830e+01,1.6669550138852189e-15,-1.1128468194548545e-13,6.4916064468199849e-13,6.9288471183301951e-31,-4.6192314122201303e-29,3.8493595101834418e-28
9.8216103235830077e-01,-1.8857491821279376e+02,3.1773907640239460e-15,-2.1010006089027474e-13,1.2139114629215873e-12,1.7435928689829178e-30,-1.1546459443486880e-28,9.5579025393308059e-28
9.7336124152433678e-01,-2.8032803755900898e+02,6.0191691474191726e-15,-3.9418126842574078e-13,2.2555928137695168e-12,4.3606211735753498e-30,-2.8683197052851190e-28,2.3583962021233201e-27
9.6464029348312308e-01,-3.7042187269751923e+02,1.1332393247975474e-14,-7.3492668804463168e-13,4.1645845655862462e-12,1.0838540485385723e-29,-7.0811797837853392e-28,5.7829634900913604e-27
9.5599748183309996e-01,-4.5887879127988799e+02,2.1204395469961913e-14,-1.3616625066297146e-12,7.6404396205333991e-12,2.6773948210232741e-29,-1.7373317505306577e-27,1.4091690865415336e-26
9.4743210650179832e-01,-5.4572089334503585e+02,3.9432047107207181e-14,-2.5070992913841603e-12,1.3928329396578667e-11,6.5731448633117158e-29,-4.2360266896897727e-27,3.4123548333612058e-26
9.3894347368913322e-01,-6.3097001431909757e+02,7.2877240958196922e-14,-4.5872174447576177e-12,2.5229695946166897e-11,1.6038108905486379e-28,-1.0264389699511283e-26,8.2115117596090262e-26
9.3053089581120574e-01,-7.1464772798300601e+02,1.3386088462961234e-13,-8.3406899348846100e-12,4.5410422978816215e-11,3.8891284083264623e-28,-2.4717571661808183e-26,1.9636737486880945e-25
9.2219369144460805e-01,-7.9677534940814132e+02,2.4436253899642747e-13,-1.5070531648847574e-11,8.1213420552123045e-11,9.3728264777046901e-28,-5.9152949325958484e-26,4.6665104468256136e-25
9.1393118527122819e-01,-8.7737393786037910e+02,4.4333777463280460e-13,-2.7060024170180070e-11,1.4432012890762705e-10,2.2449570727190268e-27,-1.4068397655705901e-25,1.1020244830302956e-24
9.0574270802354850e-01,-9.5646429967286724e+02,7.9938135583402291e-13,-4.8283620782937749e-11,2.5483022079883813e-10,5.3439781650541098e-27,-3.3251419693670019e-25,2.5862215317298902e-24
8.9762759643043488e-01,-1.0340669910878610e+03,1.4324928490497404e-12,-8.5613554101849300e-11,4.4709300475410195e-10,1.2642718811766546e-26,-7.8103907326024448e-25,6.0313572879541100e-24
8.8958519316341134e-01,-1.1102023210679374e+03,2.5512327442763627e-12,-1.5085344726804491e-10,7.7940947755156530e-10,2.9725930124206959e-26,-1.8231903809513600e-24,1.3977792920627094e-23
8.8161484678341606e-01,-1.1848903540769111e+03,4.5157185694713635e-12,-2.6414166150809034e-10,1.3500573810413506e-09,6.9462369865891707e-26,-4.2294865207231843e-24,3.2191091852170904e-23
8.7371591168803442e-01,-1.2581509128307696e+03,7.9436998327102746e-12,-4.5960678106168767e-10,2.3235676153674207e-09,1.6131802993148019e-25,-9.7507786980805798e-24,7.3672550163275492e-23
8.6588774805920499e-01,-1.3300035810189388e+03,1.3887943864964021e-11,-7.9469901005071909e-10,3.9734950502535954e-09,3.7233631217505106e-25,-2.2340178730503061e-23,1.6755134047877297e-22
8.5812972181139380e-01,-1.4004677059961946e+03,2.4130829412884303e-11,-1.3654772421475950e-09,6.7515263639519977e-09,8.5409670443364616e-25,-5.0866203730714934e-23,3.7867062777310001e-22
8.5044120454023298e-01,-1.4695624014455225e+03,4.1670212625590781e-11,-2.3314741187552766e-09,1.1398317913914686e-08,1.9471430963655167e-24,-1.1509779191849498e-22,8.5044479584221282e-22
8.4282157347161990e-01,-1.5373065500122348e+03,7.1515199306187434e-11,-3.9558500060663310e-09,1.9119941695987266e-08,4.4117191969960018e-24,-2.5882085955709880e-22,1.8980196367520575e-21
8.3527021141127200e-01,-1.6037188059096422e+03,1.2198043000868861e-10,-6.6697694383763187e-09,3.1866676205575743e-08,9.9342943731782584e-24,-5.7839669461615641e-22,4.2094426108175826e-21
8.2778650669473364e-01,-1.6688175974965829e+03,2.0677647933592143e-10,-1.1174864670283901e-08,5.2770194276340645e-08,2.2232349317628564e-23,-1.2845357383518726e-21,9.2772025547635253e-21
8.2036985313783106e-01,-1.7326211298270991e+03,3.4836240728956334e-10,-1.8605133011538904e-08,8.6823954053848216e-08,4.9448470173055056e-23,-2.8350456232551570e-21,2.0317826966661959e-20
8.1301964998757104e-01,-1.7951473871725568e+03,5.8328471958140164e-10,-3.0780870788280262e-08,1.4193401530151454e-07,1.0930487511898236e-22,-6.2182328956576635e-21,4.4218545035787828e-20
8.0573530187347964e-01,-1.8564141355164970e+03,9.7061966378292487e-10,-5.0604035063645581e-08,2.3052949306771878e-07,2.4012942151936380e-22,-1.3553971792426310e-20,9.5630800979896746e-20
7.9851621875937706e-01,-1.9164389250225049e+03,1.6052280551856116e-09,-8.2669244842058993e-08,3.7201160178926550e-07,5.2428856633634639e-22,-2.9360159714835402e-20,2.0552111800384779e-19
7.9136181589558385e-01,-1.9752390924753772e+03,2.6384177944061528e-09,-1.3420100386362159e-07,5.9644890606054038e-07,1.1376654489580528e-21,-6.3203636053225159e-20,4.3891413925850801e-19
7.8427151377155646e-01,-2.0328317636958743e+03,4.3099235146360103e-09,-2.1648054097897044e-07,9.5010904096325920e-07,2.4534540043485411e-21,-1.3521257623965295e-19,9.3146441409538686e-19
7.7724473806894612e-01,-2.0892338559293271e+03,6.9970459942650653e-09,-3.4700165134521932e-07,1.5036738224959505e-06,5.2584826125490876e-21,-2.8746371615268342e-19,1.9643353937100033e-18
7.7028091961507916e-01,-2.1444620802083805e+03,1.1289613242107988e-08,-5.5270322606887931e-07,2.3643415781835396e-06,1.1201137637692894e-20,-6.0735057413268129e-19,4.1164872246770620e-18
7.6337949433685326e-01,-2.1985329436901375e+03,1.8103500966280212e-08,-8.7477904669161414e-07,3.6935115304757038e-06,2.3712808565076711e-20,-1.2752221494996810e-18,8.5723266716367431e-18
7.5653990321504738e-01,-2.2514627519679811e+03,2.8851290572487683e-08,-1.3757791337806627e-06,5.7324130574194276e-06,4.9891093927950183e-20,-2.6608583428240099e-18,1.7739055618826735e-17
7.4976159223904126e-01,-2.3032676113583348e+03,4.5696936883987051e-08,-2.1500126724058600e-06,8.8389409865574243e-06,1.0432351890228671e-19,-5.5175549997209422e-18,3.6477169164821781e-17
7.4304401236193984e-01,-2.3539634311626255e+03,7.1932988672278929e-08,-3.3386675421411437e-06,1.3540151698683528e-05,2.1680065936224811e-19,-1.1369990135442346e-17,7.4536601999010938e-17
7.3638661945610007e-01,-2.4035659259047106e+03,1.1253517471925912e-07,-5.1516102204816392e-06,2.0606440881926557e-05,4.4777324417183015e-19,-2.3284208696935169e-17,1.5134735653007862e-16
7.2978887426905681e-01,-2.4520906175440309e+03,1.7497163264940470e-07,-7.8985651207722024e-06,3.1155451309712572e-05,9.1912557429494438e-19,-4.7386029608094911e-17,3.0537663525216719e-16
7.2325024237984248e-01,-2.4995528376647358e+03,2.7037477357447835e-07,-1.2033346404148081e-05,4.6796347127242536e-05,1.8750408377620004e-18,-9.5835420596724471e-17,6.1228185381240632e-16
7.1677019415569898e-01,-2.5459677296410428e+03,4.1522535315603165e-07,-1.8216090030122944e-05,6.9828345115471285e-05,3.8015944193905344e-18,-1.9261411724912040e-16,1.2198894092444291e-15
7.1034820470917726e-01,-2.5913502507790786e+03,6.3375402037661821e-07,-2.7400081226653301e-05,1.0351141796735691e-04,7.6601981129873731e-18,-3.8471217189669914e-16,2.4151375235737222e-15
7.0398375385562095e-01,-2.6357151744354446e+03,9.6133944320744202e-07,-4.0951873441818256e-05,1.5243197336676796e-04,1.5340283719569448e-17,-7.6360523404079037e-16,4.7513214562538066e-15
6.9767632607103103e-01,-2.6790770921127591e+03,1.4492788871477611e-06,-6.0816036264385675e-05,2.2299213296941413e-04,3.0531346078086542e-17,-1.5062130731856025e-15,9.2883139513112159e-15
6.9142541045030848e-01,-2.7214504155324144e+03,2.1714325285941694e-06,-8.9739140610728182e-05,3.2405800776096289e-04,6.0391759381226896e-17,-2.9524860141933151e-15,1.8042970086736926e-14
6.8523050066587032e-01,-2.7628493786847894e+03,3.2334033437800803e-06,-1.3157157309998945e-04,4.6781003768885137e-04,1.1872128313910486e-16,-5.7513866054055230e-15,3.4827841110511227e-14
6.7909109492663688e-01,-2.8032880398571569e+03,4.7851173921290088e-06,-1.9167053554027861e-04,6.7084687439097511e-04,2.3195228302435696e-16,-1.1133709585169133e-14,6.6802257511014799e-14
6.7300669593738649e-01,-2.8427802836395203e+03,7.0379224993831176e-06,-2.7743316716704068e-04,9.5560313135314013e-04,4.5038912026041439e-16,-2.1418504830161926e-14,1.2732111204596255e-13
6.6697681085847438e-01,-2.8813398229086092e+03,1.0287634671730527e-05,-3.9899511507705495e-04,1.3521501122055752e-03,8.6915313385309688e-16,-4.0946769861523678e-14,2.4113097807341719e-13
6.6100095126591252e-01,-2.9189802007902695e+03,1.4945338524781451e-05,-5.7013698816758861e-04,1.9004566272252954e-03,1.6669550138852189e-15,-7.7791233981310214e-14,4.5378219822430961e-13
6.5507863311180625e-01,-2.9557147926004700e+03,2.1578196799621971e-05,-8.0944877747717730e-04,2.6531932150640810e-03,3.1773907640239460e-15,-1.4686606198155128e-13,8.4855946922674075e-13
6.4920937668514744e-01,-2.9915568077651596e+03,3.0963048467339925e-05,-1.1418101947153624e-03,3.6791661829717230e-03,6.0191691474191726e-15,-2.7554418763741099e-13,1.5767250737029631e-12
6.4339270657295622e-01,-3.0265192917191862e+03,4.4156174947760484e-05,-1.6002524883845792e-03,5.0674662132178345e-03,1.1332393247975474e-14,-5.1373516057488821e-13,2.9111659099243660e-12
6.3762815162177333e-01,-3.0606151277845120e+03,6.2583283911865704e-05,-2.2282739605163047e-03,6.9324078771618378e-03,2.1204395469961913e-14,-9.5184175220717911e-13,5.3408898318291710e-12
6.3191524489949591e-01,-3.0938570390279319e+03,8.8154486599569039e-05,-3.0826862134972753e-03,9.4193189856861190e-03,3.9432047107207181e-14,-1.7525354269869859e-12,9.7363079277054757e-12
