j1,j2,j3,j4,j5,j6,j7,j8
9.8911380882390898e-01,-9.7863285198359591e+01,1.6162971095482633e-10,-6.6332770195393638e-09,3.1496342404229027e-08,6.5875045152628395e-25,-3.6840918692796161e-23,2.7490201964400658e-22
9.7834612680614030e-01,-1.9359585353313986e+02,2.4250708813526993e-10,-9.8625245869339967e-09,4.6406285848628698e-08,1.4032323010069012e-24,-7.7941684686984493e-23,5.7762762819865717e-22
9.6769566383334049e-01,-2.8723249809101935e+02,3.6251652708319862e-10,-1.4608716598530184e-08,6.8111644691437972e-08,2.9736706743584578e-24,-1.6403757262702473e-22,1.2073460110679016e-21
9.5716114383657636e-01,-3.7880750693975239e+02,5.3992236548967409e-10,-2.1557548009471111e-08,9.9584662541264991e-08,6.2691811094648928e-24,-3.4343994378982862e-22,2.5103180325965773e-21
9.4674130463844541e-01,-4.6835467000033481e+02,8.0118896337644530e-10,-3.1691975065759097e-08,1.4504030453627805e-07,1.3148718029565336e-23,-7.1530606961291047e-22,5.1920439678373245e-21
9.3643489780184941e-01,-5.5590728582939528e+02,1.1845100002037843e-09,-4.6415302848219792e-08,2.1043050396025162e-07,2.7435359638519247e-23,-1.4820619452995572e-21,1.0682182857835945e-20
9.2624068848041519e-01,-6.4149816831295368e+02,1.7447878899637402e-09,-6.7722703062330784e-08,3.0412420020906127e-07,5.6949845797580473e-23,-3.0547371064730914e-21,2.1862160665934156e-20
9.1615745527054326e-01,-7.2515965327267054e+02,2.5606291087510595e-09,-9.8439147706922874e-08,4.3783861523705891e-07,1.1760589652553484e-22,-6.2634563465426920e-21,4.4507885921440309e-20
9.0618399006506700e-01,-8.0692360498570088e+02,3.7441294118312720e-09,-1.4254799123330814e-07,6.2790855768872256e-07,2.4161299617759687e-22,-1.2775758240063619e-20,9.0134495487464809e-20
8.9631909790850572e-01,-8.8682142261925105e+02,5.4545026557542209e-09,-2.0564268353155965e-07,8.9700820898307551e-07,4.9381711112050569e-22,-2.5923367026358558e-20,1.8157440773004409e-19
8.8656159685389224e-01,-9.6488404658092122e+02,7.9169808973283087e-09,-2.9554492909311285e-07,1.2764754815254811e-06,1.0040760950061332e-21,-5.2327248332114119e-20,3.6385397267206681e-19
8.7691031782116025e-01,-1.0411419647859066e+03,1.1448910747553719e-08,-4.2314675121872608e-07,1.8094346469853313e-06,2.0310554025924468e-21,-1.0507413315686075e-19,7.2528352899200478e-19
8.6736410445707235e-01,-1.1156252188421126e+03,1.6495628819224741e-08,-6.0355227786164482e-07,2.5549709169461939e-06,4.0872533858353735e-21,-2.0989148487004178e-19,1.4381229964408757e-18
8.5792181299667358e-01,-1.1883634101542311e+03,2.3679564713938109e-08,-8.5761875123662225e-07,3.5936838769792425e-06,8.1826882218639250e-21,-4.1708498826012288e-19,2.8365540759141696e-18
8.4858231212625324e-01,-1.2593857059478080e+03,3.3867152792184583e-08,-1.2140266369518109e-06,5.0350384832901605e-06,1.6297278799121512e-20,-8.2448863578802166e-19,5.5653464661606779e-18
8.3934448284779739e-01,-1.3287208452143184e+03,4.8259608298450501e-08,-1.7120474162489804e-06,7.0270466146181355e-06,3.2291545845966319e-20,-1.6213426156602397e-18,1.0861722756351813e-17
8.3020721834491906e-01,-1.3963971445782620e+03,6.8515531545147833e-08,-2.4052266593183596e-06,9.7689533649925234e-06,6.3652758036853032e-20,-3.1717179156411545e-18,2.1086759162289073e-17
8.2116942385024549e-01,-1.4624425040872609e+03,9.6915759439991349e-08,-3.3662616367565110e-06,1.3527775338206438e-05,1.2482462382333882e-19,-6.1722507643622024e-18,4.0721597942247787e-17
8.1223001651425120e-01,-1.5268844129261549e+03,1.3658402550443129e-07,-4.6934297700446920e-06,1.8659748629052015e-05,2.4352186170647006e-19,-1.1948721130419331e-17,7.8224509509787381e-17
8.0338792527551750e-01,-1.5897499550560497e+03,1.9178098583770197e-07,-6.5190198208659625e-06,2.5637997815387582e-05,4.7263980463433321e-19,-2.3010589383726871e-17,1.4947313538978908e-16
7.9464209073240499e-01,-1.6510658147792838e+03,2.6829422109041843e-07,-9.0203354903282351e-06,3.5088040245956951e-05,9.1259331372538212e-19,-4.4082082445947165e-17,2.8410892427761763e-16
7.8599146501612338e-01,-1.7108582822312540e+03,3.7395317342251513e-07,-1.2433985104410919e-05,4.7833098300936843e-05,1.7529879083085510e-18,-8.4008665008045533e-17,5.3716437154821283e-16
