x,y
2.4410000000000000e+01,5.9099999999999997e-01
3.4820000000000000e+01,1.5469999999999999e+00
4.4090000000000003e+01,2.9020000000000001e+00
4.5070000000000000e+01,2.8940000000000001e+00
5.4979999999999997e+01,4.7030000000000003e+00
6.5510000000000005e+01,6.3070000000000004e+00
7.0530000000000001e+01,7.0300000000000002e+00
7.5700000000000003e+01,7.8979999999999997e+00
8.9569999999999993e+01,9.4700000000000006e+00
9.1140000000000001e+01,9.4840000000000000e+00
9.6400000000000006e+01,1.0071999999999999e+01
9.7189999999999998e+01,1.0163000000000000e+01
1.1426000000000001e+02,1.1615000000000000e+01
1.2025000000000000e+02,1.2005000000000001e+01
1.2708000000000000e+02,1.2478000000000000e+01
1.3355000000000001e+02,1.2981999999999999e+01
1.3361000000000001e+02,1.2970000000000001e+01
1.5866999999999999e+02,1.3926000000000000e+01
1.7274000000000001e+02,1.4452000000000000e+01
1.7131000000000000e+02,1.4404000000000000e+01
2.0213999999999999e+02,1.5190000000000000e+01
2.2055000000000001e+02,1.5550000000000001e+01
2.2105000000000001e+02,1.5528000000000000e+01
2.2138999999999999e+02,1.5499000000000001e+01
2.5099000000000001e+02,1.6131000000000000e+01
2.6899000000000001e+02,1.6437999999999999e+01
2.7180000000000001e+02,1.6387000000000000e+01
2.7197000000000003e+02,1.6548999999999999e+01
3.2131000000000000e+02,1.6872000000000000e+01
3.2169000000000000e+02,1.6829999999999998e+01
3.3013999999999999e+02,1.6925999999999998e+01
3.3302999999999997e+02,1.6907000000000000e+01
3.3347000000000003e+02,1.6966000000000001e+01
3.4076999999999998e+02,1.7059999999999999e+01
3.4564999999999998e+02,1.7122000000000000e+01
3.7311000000000001e+02,1.7311000000000000e+01
3.7379000000000002e+02,1.7355000000000000e+01
4.1181999999999999e+02,1.7667999999999999e+01
4.1950999999999999e+02,1.7766999999999999e+01
4.2158999999999997e+02,1.7803000000000001e+01
4.2201999999999998e+02,1.7765000000000001e+01
4.2247000000000003e+02,1.7768000000000001e+01
4.2261000000000001e+02,1.7736000000000001e+01
4.4175000000000000e+02,1.7858000000000001e+01
4.4741000000000003e+02,1.7876999999999999e+01
4.4869999999999999e+02,1.7911999999999999e+01
4.7288999999999999e+02,1.8045999999999999e+01
4.7669000000000000e+02,1.8085000000000001e+01
5.2247000000000003e+02,1.8291000000000000e+01
5.2262000000000000e+02,1.8356999999999999e+01
5.2442999999999995e+02,1.8425999999999998e+01
5.4675000000000000e+02,1.8584000000000000e+01
5.4952999999999997e+02,1.8609999999999999e+01
5.7528999999999996e+02,1.8870000000000001e+01
5.7600000000000000e+02,1.8795000000000002e+01
6.2554999999999995e+02,1.9111000000000001e+01
2.0149999999999999e+01,3.6699999999999999e-01
2.8780000000000001e+01,7.9600000000000004e-01
2.9570000000000000e+01,8.9200000000000002e-01
3.7409999999999997e+01,1.9030000000000000e+00
3.9119999999999997e+01,2.1499999999999999e+00
5.0240000000000002e+01,3.6970000000000001e+00
6.1380000000000003e+01,5.8700000000000001e+00
6.6250000000000000e+01,6.4210000000000003e+00
7.3420000000000002e+01,7.4219999999999997e+00
9.5519999999999996e+01,9.9440000000000008e+00
1.0731999999999999e+02,1.1023000000000000e+01
1.2204000000000001e+02,1.1869999999999999e+01
1.3403000000000000e+02,1.2786000000000000e+01
1.6319000000000000e+02,1.4067000000000000e+01
1.6347999999999999e+02,1.3974000000000000e+01
1.7569999999999999e+02,1.4462000000000000e+01
1.7986000000000001e+02,1.4464000000000000e+01
2.1127000000000001e+02,1.5381000000000000e+01
2.1778000000000000e+02,1.5483000000000001e+01
2.1913999999999999e+02,1.5590000000000000e+01
2.6251999999999998e+02,1.6074999999999999e+01
2.6800999999999999e+02,1.6347000000000001e+01
