j1,j2,j3,j4,j5,j6,j7
9.9909405518796668e-01,2.4387885887138268e+01,5.9530829450504518e+02,1.4531475468868151e+04,-1.2105268060910342e+01,-2.9548959336682151e+02,-7.2129009740841129e+03
9.2094710698249982e-01,3.2067378265130642e+01,1.1165861111918489e+03,3.8879528391700180e+04,-5.0196356952276219e+01,-1.7478371490782579e+03,-6.0859689530904936e+04
8.3123401649548678e-01,3.6649107787286013e+01,1.6158591623414404e+03,7.1243230467634115e+04,-1.0630344652944997e+02,-4.6869189574834490e+03,-2.0664625683544527e+05
8.2123199210483844e-01,3.7012925884165064e+01,1.6681725695993196e+03,7.5184537711841345e+04,-1.1301187459937150e+02,-5.0934451881936739e+03,-2.2956157463188891e+05
7.1948081078580028e-01,3.9557054977003297e+01,2.1748468826356411e+03,1.1957308160730754e+05,-1.8349182008402275e+02,-1.0088380268219571e+04,-5.5465914714671194e+05
6.1718606388080288e-01,4.0431859044831405e+01,2.6486910860269054e+03,1.7351575304562258e+05,-2.5393075875159394e+02,-1.6635004005816922e+04,-1.0897591124210665e+06
5.7240319428263764e-01,4.0371597292754437e+01,2.8474087570579704e+03,2.0082773963529867e+05,-2.8311297089182017e+02,-1.9967957837000078e+04,-1.4083400662436155e+06
5.2941711356557586e-01,4.0076875496914099e+01,3.0338194751163974e+03,2.2966013426631130e+05,-3.0951913568906230e+02,-2.3430598571662016e+04,-1.7736963118748148e+06
4.3005657189814833e-01,3.8520167144917139e+01,3.4502513711702281e+03,3.0903901531571726e+05,-3.6191775759337634e+02,-3.2416973547638710e+04,-2.9035883206619988e+06
4.2021408629091916e-01,3.8298311824554368e+01,3.4905081396898859e+03,3.1812491185133619e+05,-3.6627350631348554e+02,-3.3382167365411078e+04,-3.0424507336835661e+06
3.8916165301759714e-01,3.7515183350896365e+01,3.6164636750264099e+03,3.4862709827254596e+05,-3.7881019998048180e+02,-3.6517303278118452e+04,-3.5202680360106188e+06
3.8474450314850411e-01,3.7393318261003110e+01,3.6342566017868926e+03,3.5321339912766812e+05,-3.8043498902571264e+02,-3.6974476583409014e+04,-3.5935493791415216e+06
3.0318166898630983e-01,3.4641537498375762e+01,3.9581420745644145e+03,4.5225731343973003e+05,-4.0204482936826008e+02,-4.5937642203617397e+04,-5.2488349981853236e+06
2.8001014189186796e-01,3.3671219562497122e+01,4.0489641523902787e+03,4.8688793932493101e+05,-4.0478466624859431e+02,-4.8675356116393457e+04,-5.8532115729963137e+06
2.5643096573543817e-01,3.2587247125659481e+01,4.1411873647288066e+03,5.2626209030973678e+05,-4.0571017842601947e+02,-5.1557649474378552e+04,-6.5519460952040274e+06
2.3655064716557142e-01,3.1591338928962067e+01,4.2190233139628845e+03,5.6345056357974326e+05,-4.0486705734231941e+02,-5.4069995508066771e+04,-7.2210479001023173e+06
2.3637649783468262e-01,3.1582263875691947e+01,4.2197062764312013e+03,5.6379495559397293e+05,-4.0485261975112434e+02,-5.4092358524947726e+04,-7.2272800225182669e+06
1.7699783977840322e-01,2.8084247237639236e+01,4.4561275091962170e+03,7.0705375188416371e+05,-3.9166181203149353e+02,-6.2144979715037080e+04,-9.8605439313849322e+06
1.5272937407441159e-01,2.6382472077613858e+01,4.5573082266870179e+03,7.8722942307791556e+05,-3.8063877852211891e+02,-6.5751542601910827e+04,-1.1357921469054079e+07
1.5496527944934524e-01,2.6547102022467332e+01,4.5477840474688792e+03,7.7908088517189363e+05,-3.8181708770316061e+02,-6.5409085294428434e+04,-1.1205230401788536e+07
1.1564906082882100e-01,2.3377301155937875e+01,4.7254876556612817e+03,9.5521007471537136e+05,-3.5543147952209779e+02,-7.1846919270596845e+04,-1.4523136261358444e+07
9.8925648112226414e-02,2.1818051691151535e+01,4.8119713004834721e+03,1.0612802703216297e+06,-3.3991511080399420e+02,-7.4968277687820912e+04,-1.6534253644048905e+07
9.8523849928720625e-02,2.1778697026743696e+01,4.8141809777616945e+03,1.0641747051342227e+06,-3.3950445743728039e+02,-7.5047460316510842e+04,-1.6589241102964722e+07
9.8252048292658628e-02,2.1752020971511691e+01,4.8156799228829732e+03,1.0661433781270615e+06,-3.3922559139897442e+02,-7.5101153679818948e+04,-1.6626644413175117e+07
7.8370812856311686e-02,1.9670290318805673e+01,4.9370461671170360e+03,1.2391492174847049e+06,-3.1626511293130147e+02,-7.9379380694627354e+04,-1.9923430760544524e+07
6.9166692899089929e-02,1.8605148722926202e+01,5.0045989549799187e+03,1.3461870729000485e+06,-3.0368184589917189e+02,-8.1687379728418236e+04,-2.1973088273147222e+07
6.7882844659420669e-02,1.8450557178430540e+01,5.0148614410974205e+03,1.3630393396902790e+06,-3.0181323672214899e+02,-8.2032837741080089e+04,-2.2296525298025567e+07
6.7806374185578874e-02,1.8441299587251887e+01,5.0154802487448969e+03,1.3640601632511497e+06,-3.0170101046879898e+02,-8.2053623817199288e+04,-2.2316124069563694e+07
5.0258630997607676e-02,1.6148600725841323e+01,5.1887068992200757e+03,1.6671834137884025e+06,-2.7287898612230418e+02,-8.7678747030957558e+04,-2.8172058208516970e+07
5.0152581195690549e-02,1.6133583844841695e+01,5.1900125870471238e+03,1.6695751491271893e+06,-2.7268415822512372e+02,-8.7719766859440046e+04,-2.8218571801013269e+07
4.7884154824403689e-02,1.5808474873728635e+01,5.2190098948127716e+03,1.7230039266734882e+06,-2.6844975784798817e+02,-8.8626003055934809e+04,-2.9258988648886316e+07
4.7146012542860168e-02,1.5701036557148720e+01,5.2289162046272377e+03,1.7413859636270087e+06,-2.6704373456157975e+02,-8.8933574921042891e+04,-2.9617548455954913e+07
