x,y
9.6500000000000004e+00,8.2000000000000007e-03
1.0740000000000000e+01,1.1200000000000000e-02
1.1810000000000000e+01,1.4900000000000000e-02
1.2880000000000001e+01,1.9800000000000002e-02
1.4060000000000000e+01,2.4799999999999999e-02
1.5279999999999999e+01,3.2399999999999998e-02
1.6629999999999999e+01,4.2000000000000003e-02
1.8190000000000001e+01,5.4899999999999997e-02
1.9879999999999999e+01,7.1900000000000006e-02
2.1840000000000000e+01,9.6299999999999997e-02
2.4000000000000000e+01,1.2909999999999999e-01
2.6250000000000000e+01,1.7100000000000001e-01
2.8859999999999999e+01,2.3139999999999999e-01
3.1850000000000001e+01,3.2269999999999999e-01
3.5789999999999999e+01,4.8089999999999999e-01
4.0180000000000000e+01,7.0840000000000003e-01
4.4740000000000002e+01,1.0220000000000000e+00
4.9530000000000001e+01,1.4580000000000000e+00
5.3939999999999998e+01,1.9520000000000000e+00
5.8289999999999999e+01,2.5409999999999999e+00
6.2630000000000003e+01,3.2229999999999999e+00
6.7030000000000001e+01,3.9990000000000001e+00
7.1250000000000000e+01,4.8520000000000003e+00
7.5219999999999999e+01,5.7320000000000002e+00
7.9329999999999998e+01,6.7270000000000003e+00
8.3560000000000002e+01,7.8350000000000000e+00
8.7750000000000000e+01,9.0250000000000004e+00
9.1930000000000007e+01,1.0266999999999999e+01
9.6099999999999994e+01,1.1577999999999999e+01
1.0028000000000000e+02,1.2944000000000001e+01
1.0445999999999999e+02,1.4377000000000001e+01
1.0866000000000000e+02,1.5856000000000000e+01
1.1270999999999999e+02,1.7331000000000000e+01
1.1688000000000000e+02,1.8885000000000002e+01
1.2133000000000000e+02,2.0574999999999999e+01
1.2579000000000001e+02,2.2320000000000000e+01
1.2579000000000001e+02,2.2303000000000001e+01
1.2874000000000001e+02,2.3460000000000001e+01
1.3027000000000001e+02,2.4059999999999999e+01
1.3333000000000001e+02,2.5271999999999998e+01
1.3478999999999999e+02,2.5853000000000002e+01
1.3793000000000001e+02,2.7109999999999999e+01
1.3933000000000001e+02,2.7658000000000001e+01
1.4246000000000001e+02,2.8923999999999999e+01
1.4390000000000001e+02,2.9510999999999999e+01
1.4691000000000000e+02,3.0710000000000001e+01
1.4850999999999999e+02,3.1350000000000001e+01
1.5141000000000000e+02,3.2520000000000003e+01
1.5316999999999999e+02,3.3229999999999997e+01
1.5597000000000000e+02,3.4329999999999998e+01
1.5775999999999999e+02,3.5060000000000002e+01
1.6056000000000000e+02,3.6170000000000002e+01
1.6230000000000001e+02,3.6840000000000003e+01
1.6521000000000001e+02,3.8009999999999998e+01
1.6690000000000001e+02,3.8670000000000002e+01
1.6991999999999999e+02,3.9869999999999997e+01
1.7031999999999999e+02,4.0030000000000001e+01
1.7153999999999999e+02,4.0500000000000000e+01
1.7378999999999999e+02,4.1369999999999997e+01
1.7456999999999999e+02,4.1670000000000002e+01
1.7625000000000000e+02,4.2310000000000002e+01
1.7734000000000000e+02,4.2729999999999997e+01
