j1,j2,j3,j4,j5
1.0148378095291828e+00,9.7931848619566146e+00,9.4504233917881322e+01,-5.6874963703397574e+00,-5.4884339973778658e+01
1.0162794997632756e+00,1.0914841827457579e+01,1.1722540122689439e+02,-5.3040015869896679e+00,-5.6964977044269027e+01
1.0176468694995382e+00,1.2018409528789547e+01,1.4193741653500456e+02,-4.7916279522602103e+00,-5.6589126116193079e+01
1.0189664134045688e+00,1.3124287404650849e+01,1.6904082177190293e+02,-4.1636001389413364e+00,-5.3627169789564412e+01
1.0203656945230224e+00,1.4346341664993695e+01,2.0170956380981136e+02,-3.3598925673944748e+00,-4.7240089497566316e+01
1.0217502270747429e+00,1.5612343469702072e+01,2.3855660821704768e+02,-2.4332639824353750e+00,-3.7180273651612531e+01
1.0232079761248538e+00,1.7015948642956317e+01,2.8297522593236357e+02,-1.3293956885591312e+00,-2.2107850300738349e+01
1.0247943777416761e+00,1.8641009731121091e+01,3.3907996700909268e+02,-2.0263278263252596e-03,-3.6858903160856479e-02
1.0263931666014909e+00,2.0404696152037637e+01,4.0564535950250826e+02,1.4291065310522826e+00,2.8410637837319374e+01
1.0280897966311580e+00,2.2453481158424488e+01,4.9038402849999079e+02,2.9761628152396056e+00,6.4999395884832978e+01
1.0297615740192299e+00,2.4714277776461515e+01,5.9314266663507635e+02,4.3953137497598584e+00,1.0548752999423661e+02
1.0312801215449494e+00,2.7071103190554926e+01,7.1061645875206682e+02,5.3755337833680921e+00,1.4110776181341242e+02
1.0327540675434563e+00,2.9805282389304150e+01,8.6018044975531780e+02,5.6217833501214107e+00,1.6224466748450391e+02
1.0340597650058438e+00,3.2934803515436130e+01,1.0489734919666409e+03,4.3527438540718917e+00,1.3863489175218973e+02
1.0351511202956409e+00,3.7048058595380986e+01,1.3259500171286854e+03,-5.8756075180202905e-01,-2.1028799306994618e+01
1.0355196074841300e+00,4.1607177828712345e+01,1.6717764051576619e+03,-1.1621547657616960e+01,-4.6695378488304937e+02
1.0349546975262258e+00,4.6303873167323346e+01,2.0716352855060468e+03,-3.0668139856179078e+01,-1.3720925771654520e+03
1.0333248800164478e+00,5.1180581307214666e+01,2.5349741921463424e+03,-6.0560869728650587e+01,-2.9995798776600636e+03
1.0308939099661902e+00,5.5606417503576303e+01,2.9994101601429056e+03,-9.8341862850644105e+01,-5.3045600821637418e+03
1.0276346363604469e+00,5.9900822953450451e+01,3.4916189699566266e+03,-1.4632633014083228e+02,-8.5293617839091148e+03
1.0235466010138532e+00,6.4104723621497627e+01,4.0148788404143966e+03,-2.0570661121750595e+02,-1.2883405060552399e+04
1.0185700125197941e+00,6.8274747939201788e+01,4.5764563543646964e+03,-2.7840580930908538e+02,-1.8661541397987992e+04
1.0130328553344079e+00,7.2178590942576562e+01,5.1427246046585806e+03,-3.6052129971913962e+02,-2.5687142604988698e+04
1.0071633560292537e+00,7.5758827640520451e+01,5.6985790151199490e+03,-4.4920835332496449e+02,-3.3789452337103830e+04
1.0004374898856965e+00,7.9364706072632302e+01,6.2960021327419208e+03,-5.5293118657522848e+02,-4.3864031031012870e+04
9.9285442757448161e-01,8.2962915968123681e+01,6.9323812582964156e+03,-6.7243485975978206e+02,-5.6188656881527393e+04
9.8471385867578476e-01,8.6408641098800118e+01,7.5823582564197104e+03,-8.0352535813188240e+02,-7.0509350176072694e+04
9.7600208417864620e-01,8.9723871598542942e+01,8.2483155160540537e+03,-9.4674138836264831e+02,-8.7033935832178249e+04
9.6675784833363410e-01,9.2905429224862232e+01,8.9282117485092604e+03,-1.1016935426484661e+03,-1.0587274944851758e+05
9.5697253960733597e-01,9.5965206271823646e+01,9.6233908849384752e+03,-1.2687041617662544e+03,-1.2722565334192001e+05
9.4670432349040734e-01,9.8892733631807943e+01,1.0330334955178658e+04,-1.4468845183655712e+03,-1.5114155678846757e+05
9.3593812318942282e-01,1.0169903646576269e+02,1.1050617302369772e+04,-1.6365320124149596e+03,-1.7782556846900948e+05
