j1,j2,j3,j4,j5,j6
1.0000000000000000e+00,-0.0000000000000000e+00,1.0000000000000000e+00,-0.0000000000000000e+00,1.0000000000000000e+00,-0.0000000000000000e+00
9.5122942449595782e-01,-4.5230959147624398e-03,8.6070797641645069e-01,-3.7040567770676561e-02,7.7880078306751088e-01,-6.0653004977509743e-02
9.0483741802691120e-01,-8.6050038478789875e-03,7.4081822066690151e-01,-6.3762224262430861e-02,6.0653065970656816e-01,-9.4473215543764449e-02
8.6070797641214725e-01,-1.2277999287005148e-02,6.3762815160264452e-01,-8.2320982525093178e-02,4.7236655273392919e-01,-1.1036372136658422e-01
8.1873075306160725e-01,-1.5572258927652918e-02,5.4881163607207395e-01,-9.4472435047715922e-02,3.6787944116408472e-01,-1.1460180349672050e-01
7.7880078305193490e-01,-1.8515988622316657e-02,4.7236655271739636e-01,-1.0164147299631768e-01,2.8650479685302749e-01,-1.1156496788024367e-01
7.4081822065949332e-01,-2.1135543841415971e-02,4.0656965971620496e-01,-1.0498035185117750e-01,2.2313016014173592e-01,-1.0426426121764255e-01
7.0468808969404939e-01,-2.3455543072125735e-02,3.4993774908665976e-01,-1.0541699723953298e-01,1.7377394344436309e-01,-9.4734602995964798e-02
6.7032004600882644e-01,-2.5498974557415219e-02,3.0119421188810652e-01,-1.0369514328449943e-01,1.3533528323119928e-01,-8.4319294853539589e-02
6.3762815159308006e-01,-2.7287296755173045e-02,2.5924026062255984e-01,-1.0040764155819232e-01,1.0539922455712138e-01,-7.3876424467091598e-02
6.0653065968230691e-01,-2.8840532876081858e-02,2.2313016012611681e-01,-9.6024064424777830e-02,8.2084998619794541e-02,-6.3927796916887492e-02
5.7694981034875448e-01,-3.0177359838859313e-02,1.9204990859962859e-01,-9.0913545996166759e-02,6.3927861203191508e-02,-5.4765720128518040e-02
5.4881163606109773e-01,-3.1315191962536987e-02,1.6529888820175070e-01,-8.5363651858041414e-02,4.9787068364876716e-02,-4.6529002605104737e-02
5.2204577672708308e-01,-3.2270259697546544e-02,1.4227407156801791e-01,-7.9595940721107622e-02,3.8774207829201685e-02,-3.9256558969556307e-02
4.9658530375664856e-01,-3.3057683680465556e-02,1.2245642823583805e-01,-7.3778773458953589e-02,3.0197383420204699e-02,-3.2924811086489952e-02
4.7236655270558719e-01,-3.3691544381291426e-02,1.0539922454605445e-01,-6.8037834435368233e-02,2.3517745854245278e-02,-2.7473430703401674e-02
4.4932896408127526e-01,-3.4184947597008929e-02,9.0717953274897595e-02,-6.2464753916398164e-02,1.8315638887268931e-02,-2.2822751301717566e-02
4.2741493191239643e-01,-3.4550086030947738e-02,7.8081665987879287e-02,-5.7124156437030574e-02,1.4264233907786802e-02,-1.8885275122128495e-02
4.0656965970400782e-01,-3.4798297183945677e-02,6.7205512727652766e-02,-5.2059406332084709e-02,1.1108996537242496e-02,-1.5573035703768404e-02
3.8674102341776084e-01,-3.4940117770597509e-02,5.7844320863848060e-02,-4.7297276626282095e-02,8.6516952022987273e-03,-1.2802086423101650e-02
3.6787944113465437e-01,-3.4985334861838378e-02,4.9787068357906528e-02,-4.2851729742122466e-02,6.7379469984116726e-03,-1.0495026243378433e-02
3.4993774907441189e-01,-3.4943033943746135e-02,4.2852126858041219e-02,-3.8726966871901199e-02,5.2475183986303922e-03,-8.5822113894900558e-03
3.3287108366146367e-01,-3.4821644071711989e-02,3.6883167393125700e-02,-3.4919876398063911e-02,4.0867714380145182e-03,-7.0021107101374660e-03
3.1663676934264001e-01,-3.4628980288989399e-02,3.1745636370766453e-02,-3.1421989612712461e-02,3.1827807961436485e-03,-5.7011242725523090e-03
