j1,j2,j3,j4,j5,j6
1.0000000000000000e+00,-0.0000000000000000e+00,1.0000000000000000e+00,-0.0000000000000000e+00,1.0000000000000000e+00,-0.0000000000000000e+00
9.6560541625756646e-01,-2.4140135406439164e-02,8.1058424597018708e-01,-1.4590516427463368e-01,7.2978887426905681e-01,-1.4595777485381137e-01
9.3239381990594827e-01,-4.6619690995297419e-02,6.5704681981505675e-01,-2.3653685513342046e-01,5.3259180100689718e-01,-2.1303672040275889e-01
9.0032452258626561e-01,-6.7524339193969912e-02,5.3259180100689718e-01,-2.8759957254372448e-01,3.8867957090175304e-01,-2.3320774254105181e-01
8.6935823539880586e-01,-8.6935823539880594e-02,4.3171052342907967e-01,-3.1083157686893742e-01,2.8365402649977040e-01,-2.2692322119981634e-01
8.3945702076920736e-01,-1.0493212759615092e-01,3.4993774911115533e-01,-3.1494397420003978e-01,2.0700755268115265e-01,-2.0700755268115265e-01
8.1058424597018708e-01,-1.2158763689552805e-01,2.8365402649977040e-01,-3.0634634861975207e-01,1.5107180883637086e-01,-1.8128617060364502e-01
7.8270453824186814e-01,-1.3697329419232693e-01,2.2992548518672384e-01,-2.8970611133527202e-01,1.1025052530448527e-01,-1.5435073542627936e-01
7.5578374145572547e-01,-1.5115674829114512e-01,1.8637397603940994e-01,-2.6837852549675034e-01,8.0459606749532439e-02,-1.2873537079925190e-01
7.2978887426905681e-01,-1.6420249671053780e-01,1.5107180883637084e-01,-2.4473633031492076e-01,5.8718525833872284e-02,-1.0569334650097012e-01
7.0468808971871344e-01,-1.7617202242967836e-01,1.2245642825298191e-01,-2.2042157085536743e-01,4.2852126867040187e-02,-8.5704253734080374e-02
6.8045063620458768e-01,-1.8712392495626162e-01,9.9261251559645602e-02,-1.9653727808809832e-01,3.1273005426332046e-02,-6.8800611937930509e-02
6.5704681981505675e-01,-1.9711404594451701e-01,8.0459606749532439e-02,-1.7379275057899007e-01,2.2822691425092981e-02,-5.4774459420223152e-02
6.3444796794822822e-01,-2.0619558958317419e-01,6.5219289668127498e-02,-1.5261313782341837e-01,1.6655746282908664e-02,-4.3304940335562529e-02
6.1262639418441611e-01,-2.1441923796454562e-01,5.2865728738350368e-02,-1.3322163642064291e-01,1.2155178329914947e-02,-3.4034499323761847e-02
5.9155536436681511e-01,-2.2183326163755568e-01,4.2852126867040166e-02,-1.1570074254100846e-01,8.8707139099282583e-03,-2.6612141729784773e-02
5.7120906384881487e-01,-2.2848362553952595e-01,3.4735258944738549e-02,-1.0003754576084703e-01,6.4737483182894049e-03,-2.0715994618526096e-02
5.5156256586782981e-01,-2.3441409049382766e-01,2.8155853680300106e-02,-8.6156912261718330e-02,4.7244694975056263e-03,-1.6063196291519130e-02
5.3259180100689718e-01,-2.3966631045310374e-01,2.2822691425092970e-02,-7.3945520217301233e-02,3.4478652761031265e-03,-1.2412314993971255e-02
5.1427352770663204e-01,-2.4427992566065021e-01,1.8499714119819249e-02,-6.3269022289781832e-02,2.5162137184786726e-03,-9.5616121302189560e-03
4.9658530379140953e-01,-2.4829265189570476e-01,1.4995576820477703e-02,-5.3984076553719736e-02,1.8363047770289071e-03,-7.3452191081156285e-03
4.7950545897489411e-01,-2.5174036596181942e-01,1.2155178329914935e-02,-4.5946574087078459e-02,1.3401147960428171e-03,-5.6284821433798321e-03
4.6301306831122807e-01,-2.5465718757117545e-01,9.8527960611872484e-03,-3.9017072402301504e-02,9.7800086839539371e-04,-4.3032038209397331e-03
4.4708792655935647e-01,-2.5707555777162994e-01,7.9865212659555023e-03,-3.3064198041055780e-02,7.1373415278043527e-04,-3.2831771027900022e-03
