x,y
0.0000000000000000e+00,2.5133999999999999e+00
5.0000000000000003e-02,2.0443300000000000e+00
1.0000000000000001e-01,1.6684000000000001e+00
1.4999999999999999e-01,1.3664200000000000e+00
2.0000000000000001e-01,1.1232300000000000e+00
2.5000000000000000e-01,9.2688999999999999e-01
2.9999999999999999e-01,7.6793400000000001e-01
3.4999999999999998e-01,6.3887799999999995e-01
4.0000000000000002e-01,5.3378400000000004e-01
4.5000000000000001e-01,4.4793600000000000e-01
5.0000000000000000e-01,3.7758500000000000e-01
5.5000000000000004e-01,3.1973900000000000e-01
5.9999999999999998e-01,2.7201300000000000e-01
6.5000000000000002e-01,2.3249700000000001e-01
6.9999999999999996e-01,1.9965900000000000e-01
7.5000000000000000e-01,1.7227000000000001e-01
8.0000000000000004e-01,1.4934100000000000e-01
8.4999999999999998e-01,1.3006999999999999e-01
9.0000000000000002e-01,1.1381200000000000e-01
9.4999999999999996e-01,1.0004200000000001e-01
1.0000000000000000e+00,8.8332099999999997e-02
1.0500000000000000e+00,7.8335399999999999e-02
1.1000000000000001e+00,6.9766900000000007e-02
1.1499999999999999e+00,6.2393100000000000e-02
