j1,j2,j3,j4
1.0082294072348625e+00,4.6380464525105740e-02,-4.6762148255424928e-02,-1.1690537063856232e-02
1.0000888401055164e+00,8.7995992593143987e-02,-8.8003810166410984e-02,-4.4001905083205492e-02
9.4612382338051271e-01,1.5312846478095510e-01,-1.4487848856694541e-01,-1.4487848856694541e-01
7.7222617411680672e-01,2.1538314411629678e-01,-1.6632450135017668e-01,-3.3264900270035336e-01
4.8106347356188961e-01,2.1018828001296566e-01,-1.0111390408503636e-01,-4.0445561634014543e-01
3.2429580356551152e-01,1.7451734224308840e-01,-5.6595241738839751e-02,-3.3889366310682484e-01
2.3663993825407303e-01,1.4425662438105288e-01,-3.4136878686273360e-02,-2.7309502949018688e-01
1.8392753775395437e-01,1.2174615910894691e-01,-2.2392471275909775e-02,-2.2392471275909773e-01
1.4924916932735613e-01,1.0480017035224050e-01,-1.5641338370437310e-02,-1.8777116891281284e-01
1.2508137975821304e-01,9.1808830539972505e-02,-1.1483575197927731e-02,-1.6083438652559845e-01
1.0741864543581900e-01,8.1609542503846860e-02,-8.7663865104001260e-03,-1.4026218416640202e-01
