j1,j2,j3
6.2003929281129101e+06,8.8005744741239596e+01,-1.3764206921296893e+03
5.0998971173466304e+06,7.1481457847881416e+01,-1.1040118825459265e+03
4.2150013259755783e+06,5.8349570813357914e+01,-8.9007371619266758e+02
3.4998670138357561e+06,4.7859216260539014e+01,-7.2115394288021196e+02
2.9191069876937983e+06,3.9436890522631494e+01,-5.8708864047345219e+02
2.4452524961773073e+06,3.2642089719118260e+01,-4.8015400705228529e+02
2.0568683142745588e+06,2.7134624165728727e+01,-3.9444775945942212e+02
1.7371417941411720e+06,2.2650391981184022e+01,-3.2543520729357431e+02
1.4728206963901531e+06,1.8983318084109751e+01,-2.6961418118369397e+02
1.2534091861554391e+06,1.5971813711940451e+01,-2.2426626961387146e+02
1.0705560057728488e+06,1.3488569669840452e+01,-1.8727110234532876e+02
9.1758648925850959e+05,1.1432821912572086e+01,-1.5696695269412831e+02
7.8914281391999568e+05,9.7244606235976061e+00,-1.3204555865292582e+02
6.8090611784188612e+05,8.2995211558977982e+00,-1.1147236020463814e+02
5.8938084694602946e+05,7.1067161001780743e+00,-9.4425713422554068e+01
5.1172663478427922e+05,6.1047556573539676e+00,-8.0250345366273066e+01
