j1,j2,j3
8.6068062467665412e+06,6.8717015942247838e+02,-1.0972776996766122e+04
8.5794234308623634e+06,6.8484721060565664e+02,-1.0933501666025250e+04
8.5521386090191975e+06,6.8253300949873881e+02,-1.0894381636053295e+04
8.5249513938230406e+06,6.8022751995396300e+02,-1.0855416237047086e+04
8.4978613995304760e+06,6.7793070598567817e+02,-1.0816604802324342e+04
8.4708682420609239e+06,6.7564253176956527e+02,-1.0777946668308119e+04
8.4439715389888473e+06,6.7336296164185387e+02,-1.0739441174511227e+04
8.4171709095361140e+06,6.7109196009855407e+02,-1.0701087663520893e+04
8.3904659745642766e+06,6.6882949179468130e+02,-1.0662885480983359e+04
8.3638563565669945e+06,6.6657552154349423e+02,-1.0624833975588672e+04
8.3373416796623701e+06,6.6433001431572666e+02,-1.0586932499055407e+04
8.3109215695854668e+06,6.6209293523883423e+02,-1.0549180406115662e+04
8.2845956536807772e+06,6.5986424959623878e+02,-1.0511577054500020e+04
8.2583635608946821e+06,6.5764392282657229e+02,-1.0474121804922514e+04
8.2322249217681326e+06,6.5543192052294046e+02,-1.0436814021065931e+04
8.2061793684291448e+06,6.5322820843217073e+02,-1.0399653069566897e+04
