x,y
0.0000000000000000e+00,8.4399999999999997e-01
1.0000000000000000e+01,9.0800000000000003e-01
2.0000000000000000e+01,9.3200000000000005e-01
3.0000000000000000e+01,9.3600000000000005e-01
4.0000000000000000e+01,9.2500000000000004e-01
5.0000000000000000e+01,9.0800000000000003e-01
6.0000000000000000e+01,8.8100000000000001e-01
7.0000000000000000e+01,8.4999999999999998e-01
8.0000000000000000e+01,8.1799999999999995e-01
9.0000000000000000e+01,7.8400000000000003e-01
1.0000000000000000e+02,7.5100000000000000e-01
1.1000000000000000e+02,7.1799999999999997e-01
1.2000000000000000e+02,6.8500000000000005e-01
1.3000000000000000e+02,6.5800000000000003e-01
1.4000000000000000e+02,6.2800000000000000e-01
1.5000000000000000e+02,6.0299999999999998e-01
1.6000000000000000e+02,5.7999999999999996e-01
1.7000000000000000e+02,5.5800000000000005e-01
1.8000000000000000e+02,5.3800000000000003e-01
1.9000000000000000e+02,5.2200000000000002e-01
2.0000000000000000e+02,5.0600000000000001e-01
2.1000000000000000e+02,4.8999999999999999e-01
2.2000000000000000e+02,4.7799999999999998e-01
2.3000000000000000e+02,4.6700000000000003e-01
2.4000000000000000e+02,4.5700000000000002e-01
2.5000000000000000e+02,4.4800000000000001e-01
2.6000000000000000e+02,4.3800000000000000e-01
2.7000000000000000e+02,4.3099999999999999e-01
2.8000000000000000e+02,4.2399999999999999e-01
2.9000000000000000e+02,4.1999999999999998e-01
3.0000000000000000e+02,4.1399999999999998e-01
3.1000000000000000e+02,4.1099999999999998e-01
3.2000000000000000e+02,4.0600000000000003e-01
