j1,j2,j3,j4,j5
1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,-0.0000000000000000e+00,0.0000000000000000e+00
1.0000000000000000e+00,8.7925937393472753e-01,8.0153471396722331e-01,-1.7021115444940772e+01,1.1739975850861525e+01
1.0000000000000000e+00,7.7309704665208900e-01,6.4245789769451844e-01,-2.9931950619578686e+01,1.8819996371204802e+01
1.0000000000000000e+00,6.7975282523010250e-01,5.1495230726455943e-01,-3.9476922243623896e+01,2.2627320612386729e+01
1.0000000000000000e+00,5.9767904354218215e-01,4.1275215031006030e-01,-4.6280605249064884e+01,2.4182110606525402e+01
1.0000000000000000e+00,5.2551490163880588e-01,3.3083517673813057e-01,-5.0865819995766330e+01,2.4228501385156367e+01
1.0000000000000000e+00,4.6206390340830633e-01,2.6517587875709320e-01,-5.3669098852984845e+01,2.3303981913126940e+01
1.0000000000000000e+00,4.0627401842862382e-01,2.1254767213057379e-01,-5.5053901299969198e+01,2.1792108889874804e+01
1.0000000000000000e+00,3.5722023908949774e-01,1.7036433758557862e-01,-5.5321895759628802e+01,1.9962436303758153e+01
1.0000000000000000e+00,3.1408924377864539e-01,1.3655293059687226e-01,-5.4722582359305150e+01,1.8000658881924423e+01
1.0000000000000000e+00,2.7616591184444378e-01,1.0945191416735008e-01,-5.3461492783704685e+01,1.6031281075716496e+01
1.0000000000000000e+00,2.4282146675045876e-01,8.7729508715292004e-02,-5.1707170542077741e+01,1.4134591120707839e+01
1.0000000000000000e+00,2.1350305083292065e-01,7.0318246674596602e-02,-4.9597106616832868e+01,1.2359307764705685e+01
1.0000000000000000e+00,1.8772455880850808e-01,5.6362515734999438e-02,-4.7242780988964597e+01,1.0731948731850942e+01
1.0000000000000000e+00,1.6505857805014176e-01,4.5176512928125898e-02,-4.4733939422622647e+01,9.2637240307177446e+00
1.0000000000000000e+00,1.4512930199892399e-01,3.6210543367881952e-02,-4.2142216682538439e+01,7.9555675620349708e+00
1.0000000000000000e+00,1.2760629921515793e-01,2.9024007520972995e-02,-3.9524201660277740e+01,6.8017744749681288e+00
1.0000000000000000e+00,1.1219903475804725e-01,2.3263749566505638e-02,-3.6924026357528582e+01,5.7925995056545885e+00
1.0000000000000000e+00,9.8652053057441347e-02,1.8646702854594209e-02,-3.4375549021697594e+01,4.9160854460027945e+00
1.0000000000000000e+00,8.6740742408661378e-02,1.4945979638988976e-02,-3.1904191695451484e+01,4.1593249830114063e+00
1.0000000000000000e+00,7.6267610864873103e-02,1.1979721514896968e-02,-2.9528483806353915e+01,3.5093088005839705e+00
1.0000000000000000e+00,6.7059011780545741e-02,9.6021626578499351e-03,-2.7261355994057304e+01,2.9534744669836703e+00
1.0000000000000000e+00,5.8962264714844149e-02,7.6964666994264967e-03,-2.5111221985086861e+01,2.4800414698224551e+00
1.0000000000000000e+00,5.1843123958947537e-02,6.1689852344830789e-03,-2.3082880835949958e+01,2.0781956633292213e+00
1.0000000000000000e+00,4.5583552714964698e-02,4.9446558153894166e-03,-2.1178267150358906e+01,1.7381697042516633e+00
1.0000000000000000e+00,4.0079766021880500e-02,3.9633132846545243e-03,-1.9397072828798933e+01,1.4512534965873440e+00
1.0000000000000000e+00,3.5240509979849011e-02,3.1767331799780591e-03,-1.7737260436080703e+01,1.2097592585323118e+00
1.0000000000000000e+00,3.0985548742022553e-02,2.5462619207639024e-03,-1.6195485295051128e+01,1.0069588120744699e+00
1.0000000000000000e+00,2.7244334187934743e-02,2.0409173203451260e-03,-1.4767440863358548e+01,8.3700549687262138e-01
1.0000000000000000e+00,2.3954836221351992e-02,1.6358660805935832e-03,-1.3448139765568133e+01,6.9484928157924730e-01
1.0000000000000000e+00,2.1062514298694882e-02,1.3112034509972597e-03,-1.2232140983648428e+01,5.7615084844236442e-01
1.0000000000000000e+00,1.8519413135761706e-02,1.0509750830479251e-03,-1.1113732110602838e+01,4.7719840235849792e-01
1.0000000000000000e+00,1.6283367599388414e-02,8.4239301257749697e-04,-1.0087074206603287e+01,3.9482950703487418e-01
