j1,j2,j3,j4,j5
1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,-0.0000000000000000e+00,0.0000000000000000e+00
1.0000000000000000e+00,9.0483741803595952e-01,8.1873075307798182e-01,-1.3572561270539392e+01,8.1873075307798189e+00
1.0000000000000000e+00,8.1873075307798182e-01,6.7032004603563933e-01,-2.4561922592339453e+01,1.3406400920712787e+01
1.0000000000000000e+00,7.4081822068171788e-01,5.4881163609402639e-01,-3.3336819930677308e+01,1.6464349082820792e+01
1.0000000000000000e+00,6.7032004603563933e-01,4.4932896411722156e-01,-4.0219202762138359e+01,1.7973158564688863e+01
1.0000000000000000e+00,6.0653065971263342e-01,3.6787944117144233e-01,-4.5489799478447509e+01,1.8393972058572118e+01
1.0000000000000000e+00,5.4881163609402639e-01,3.0119421191220214e-01,-4.9393047248462373e+01,1.8071652714732128e+01
1.0000000000000000e+00,4.9658530379140947e-01,2.4659696394160643e-01,-5.2141456898097992e+01,1.7261787475912449e+01
1.0000000000000000e+00,4.4932896411722156e-01,2.0189651799465538e-01,-5.3919475694066591e+01,1.6151721439572430e+01
1.0000000000000000e+00,4.0656965974059911e-01,1.6529888822158653e-01,-5.4886904064980882e+01,1.4876899939942788e+01
1.0000000000000000e+00,3.6787944117144233e-01,1.3533528323661270e-01,-5.5181916175716353e+01,1.3533528323661271e+01
1.0000000000000000e+00,3.3287108369807955e-01,1.1080315836233387e-01,-5.4923728810183128e+01,1.2188347419856726e+01
1.0000000000000000e+00,3.0119421191220214e-01,9.0717953289412512e-02,-5.4214958144196387e+01,1.0886154394729502e+01
1.0000000000000000e+00,2.7253179303401259e-01,7.4273578214333877e-02,-5.3143699641632459e+01,9.6555651678634042e+00
1.0000000000000000e+00,2.4659696394160643e-01,6.0810062625217952e-02,-5.1785362427737354e+01,8.5134087675305139e+00
1.0000000000000000e+00,2.2313016014842982e-01,4.9787068367863944e-02,-5.0204286033396706e+01,7.4680602551795916e+00
1.0000000000000000e+00,2.0189651799465538e-01,4.0762203978366211e-02,-4.8455164318717294e+01,6.5219526365385940e+00
1.0000000000000000e+00,1.8268352405273466e-01,3.3373269960326080e-02,-4.6584298633447339e+01,5.6734558932554338e+00
1.0000000000000000e+00,1.6529888822158653e-01,2.7323722447292559e-02,-4.4630699819828365e+01,4.9182700405126605e+00
1.0000000000000000e+00,1.4956861922263504e-01,2.2370771856165591e-02,-4.2627056478450982e+01,4.2504466526714619e+00
1.0000000000000000e+00,1.3533528323661270e-01,1.8315638888734179e-02,-4.0600584970983810e+01,3.6631277777468356e+00
1.0000000000000000e+00,1.2245642825298191e-01,1.4995576820477703e-02,-3.8573774899689298e+01,3.1490711323003175e+00
1.0000000000000000e+00,1.1080315836233387e-01,1.2277339903068436e-02,-3.6565042259570177e+01,2.7010147786750558e+00
1.0000000000000000e+00,1.0025884372280371e-01,1.0051835744633576e-02,-3.4589301084367278e+01,2.3119222212657222e+00
1.0000000000000000e+00,9.0717953289412512e-02,8.2297470490200302e-03,-3.2658463184188506e+01,1.9751392917648072e+00
1.0000000000000000e+00,8.2084998623898800e-02,6.7379469990854670e-03,-3.0781874483962049e+01,1.6844867497713667e+00
1.0000000000000000e+00,7.4273578214333877e-02,5.5165644207607716e-03,-2.8966695503590213e+01,1.4343067493978006e+00
1.0000000000000000e+00,6.7205512739749756e-02,4.5165809426126659e-03,-2.7218232659598652e+01,1.2194768545054198e+00
1.0000000000000000e+00,6.0810062625217952e-02,3.6978637164829290e-03,-2.5540226302591538e+01,1.0354018406152201e+00
1.0000000000000000e+00,5.5023220056407231e-02,3.0275547453758153e-03,-2.3935100724537147e+01,8.7799087615898641e-01
1.0000000000000000e+00,4.9787068367863944e-02,2.4787521766663585e-03,-2.2404180765538776e+01,7.4362565299990757e-01
1.0000000000000000e+00,4.5049202393557801e-02,2.0294306362957340e-03,-2.0947879113004376e+01,6.2912349725167760e-01
1.0000000000000000e+00,4.0762203978366211e-02,1.6615572731739339e-03,-1.9565857909615783e+01,5.3169832741565881e-01
