j1,j2
7.7299689305735386e-03,3.8500077205493748e+04
1.1424242043935995e-02,5.6793677294575878e+04
1.4010920501335566e-02,6.9561529558630777e+04
1.8899128966483159e-02,9.3597023096597506e+04
2.3704527336178671e-02,1.1710664194602537e+05
2.8486389029704240e-02,1.4038371678520774e+05
3.2732313283681091e-02,1.6095334306959546e+05
3.7133012714875013e-02,1.8217443399434566e+05
4.2548297066463459e-02,2.0815000021775084e+05
4.6608832055130778e-02,2.2752680223004305e+05
5.2264666710422625e-02,2.5437216345492256e+05
5.7585424648958994e-02,2.7947304232035123e+05
6.6589316740504501e-02,3.2160665091705916e+05
7.3183793440617761e-02,3.5219015849256527e+05
