j1,j2
2.9619667554619866e-02,2.5071951474032663e+04
4.3390770308552651e-02,3.6335849459182296e+04
5.2889244440807670e-02,4.3958372545889193e+04
7.0522824982487409e-02,5.7789628568236425e+04
8.7464338847425993e-02,7.0683566499265900e+04
1.0394685131412773e-01,8.2853705606045958e+04
1.1827622077281497e-01,9.3131283122234949e+04
1.3283232077335960e-01,1.0328070419207822e+05
1.5034266253970408e-01,1.1509824258095691e+05
1.6318946346804708e-01,1.2349392185091255e+05
1.8069110705750968e-01,1.3455425906244337e+05
1.9675078739088181e-01,1.4431677840487144e+05
2.2306629163078873e-01,1.5950402074868474e+05
2.4167993125352893e-01,1.6963124729455274e+05
