j1,j2
7.7150693163656747e-03,3.8351850132012798e+04
1.1391737971115590e-02,5.6471118080188724e+04
1.3962073237005601e-02,6.9077633032087877e+04
1.8810397256004752e-02,9.2720930425517698e+04
2.3565161250608035e-02,1.1573511618929893e+05
2.8285447009379849e-02,1.3841268954324472e+05
3.2467385141215499e-02,1.5836227879337990e+05
3.6792565229590402e-02,1.7885491172865534e+05
4.2102128428035401e-02,2.0381603664312357e+05
4.6074176763238550e-02,2.2234806123410127e+05
5.1593670054515206e-02,2.4789865895112007e+05
5.6772325723032591e-02,2.7165814453077456e+05
6.5505405018486784e-02,3.1125579430799832e+05
7.1877517532233703e-02,3.3977508992076223e+05
