x,y
7.7599999999999994e+01,1.0070000000000000e+01
1.1490000000000001e+02,1.4730000000000000e+01
1.4109999999999999e+02,1.7940000000000001e+01
1.9080000000000001e+02,2.3930000000000000e+01
2.3990000000000001e+02,2.9609999999999999e+01
2.8900000000000000e+02,3.5180000000000000e+01
3.3280000000000001e+02,4.0020000000000003e+01
3.7839999999999998e+02,4.4820000000000000e+01
4.3480000000000001e+02,5.0759999999999998e+01
4.7730000000000001e+02,5.5049999999999997e+01
5.3679999999999995e+02,6.1009999999999998e+01
5.9310000000000002e+02,6.6400000000000006e+01
6.8910000000000002e+02,7.5469999999999999e+01
7.6000000000000000e+02,8.1780000000000001e+01
