j1,j2
1.5770318470341382e-02,4.7086874846653962e+04
2.3089798559845165e-02,6.8176191248892937e+04
2.8134538678099896e-02,8.2431695079314173e+04
3.7493205936769303e-02,1.0827758324897540e+05
4.6478370150075055e-02,1.3236423909770494e+05
5.5216508795965735e-02,1.5511132325040843e+05
6.2812017341696280e-02,1.7434609442735391e+05
7.0528214013568791e-02,1.9337865439537549e+05
7.9813378333719376e-02,2.1560858640893112e+05
8.6629200631945458e-02,2.3146299884743633e+05
9.5921832199458379e-02,2.5245223773780136e+05
1.0445850865735273e-01,2.7110269323109085e+05
1.1847332009476041e-01,3.0042592364842794e+05
1.2841151358464842e-01,3.2025566323259816e+05
