j1,j2
1.5167793235280280e-02,4.4473335221684269e+04
2.2217045994562090e-02,6.4446400291727106e+04
2.7078990565722050e-02,7.7967033299293806e+04
3.6105960214198540e-02,1.0252210278976378e+05
4.4781668973425393e-02,1.2545542407383949e+05
5.3227255180287147e-02,1.4715883287176248e+05
6.0575142753957145e-02,1.6554676953446225e+05
6.8046097326008859e-02,1.8377467869571893e+05
7.7044527687932352e-02,2.0510820466196351e+05
8.3655651679151899e-02,2.2035291578957826e+05
9.2677023219466581e-02,2.4057444049778892e+05
1.0097240178458422e-01,2.5858197366795276e+05
1.1460730278730535e-01,2.8697317784763785e+05
1.2428819486992648e-01,3.0623050854241831e+05
