j1,j2
2.2918810890199648e-02,3.2401993165758649e+04
3.3565428328775286e-02,4.6936817951640616e+04
4.0906079625694883e-02,5.6767267526456322e+04
5.4528852459437206e-02,7.4597389725659727e+04
6.7612413436937011e-02,9.1216186994180563e+04
8.0338812603366894e-02,1.0690604413970778e+05
9.1401828460447906e-02,1.2016437582033781e+05
1.0264019062329677e-01,1.3327020237943486e+05
1.1616148748385327e-01,1.4855390722827293e+05
1.2608421675248263e-01,1.5943339734553048e+05
1.3960752231109039e-01,1.7380185881528337e+05
1.5202371415574228e-01,1.8652800211340247e+05
1.7238856027724900e-01,2.0643527987143511e+05
1.8681182199851876e-01,2.1980846081715386e+05
