j1,j2
7.7002460903389689e-03,3.8204761502435947e+04
1.1359479579630053e-02,5.6152209016550099e+04
1.3913678003372414e-02,6.8600437838954429e+04
1.8722769556855205e-02,9.1861137284880489e+04
2.3427963163702773e-02,1.1439546852851480e+05
2.8088249586937512e-02,1.3649649911039707e+05
3.2208113967172505e-02,1.5585375680925066e+05
3.6460340707623523e-02,1.7565492131553765e+05
4.1668263886226860e-02,1.9966009835467310e+05
4.5555629790117680e-02,2.1740157192271712e+05
5.0945258522511583e-02,2.4174919578293024e+05
5.5989276038175800e-02,2.6427238503448374e+05
6.4467541701359321e-02,3.0155738884171413e+05
7.0631970260223040e-02,3.2821547518691001e+05
