j1,j2,j3
1.0000000000000000e+00,-3.2408706062556917e+04,3.2771648130500403e-02
1.0000000000000000e+00,-3.2408706062556917e+04,3.2771648130500403e-02
1.0000000000000000e+00,-3.2408706062556917e+04,3.2771648130500403e-02
1.0000000000000000e+00,-3.2408706062556917e+04,3.2771648130500403e-02
1.0000000000000000e+00,-4.3483762483738101e+05,5.4963416340837767e-01
1.0000000000000000e+00,-4.3483762483738101e+05,5.4963416340837767e-01
1.0000000000000000e+00,-4.3483762483738101e+05,5.4963416340837767e-01
1.0000000000000000e+00,-4.3483762483738101e+05,5.4963416340837767e-01
1.0000000000000000e+00,-1.8399579820830526e+06,2.5841159714297928e+00
1.0000000000000000e+00,-1.8399579820830526e+06,2.5841159714297928e+00
1.0000000000000000e+00,-1.8399579820830526e+06,2.5841159714297928e+00
1.0000000000000000e+00,-1.8399579820830526e+06,2.5841159714297928e+00
1.0000000000000000e+00,-7.7855392046564873e+06,1.2027780004185585e+01
1.0000000000000000e+00,-7.7855392046564873e+06,1.2027780004185585e+01
1.0000000000000000e+00,-7.7855392046564873e+06,1.2027780004185585e+01
1.0000000000000000e+00,-7.7855392046564873e+06,1.2027780004185585e+01
1.0000000000000000e+00,-6.4817412125113835e+04,6.5543296261000805e-02
1.0000000000000000e+00,-6.4817412125113835e+04,6.5543296261000805e-02
1.0000000000000000e+00,-6.4817412125113835e+04,6.5543296261000805e-02
1.0000000000000000e+00,-6.4817412125113835e+04,6.5543296261000805e-02
1.0000000000000000e+00,-8.6967524967476202e+05,1.0992683268167553e+00
1.0000000000000000e+00,-8.6967524967476202e+05,1.0992683268167553e+00
1.0000000000000000e+00,-8.6967524967476202e+05,1.0992683268167553e+00
1.0000000000000000e+00,-8.6967524967476202e+05,1.0992683268167553e+00
1.0000000000000000e+00,-3.6799159641661053e+06,5.1682319428595855e+00
1.0000000000000000e+00,-3.6799159641661053e+06,5.1682319428595855e+00
1.0000000000000000e+00,-3.6799159641661053e+06,5.1682319428595855e+00
