j1,j2,j3
1.0000000000000000e+00,-6.0496474644129465e+00,1.0889365435943305e-01
1.0000000000000000e+00,-6.0496474644129465e+00,1.0889365435943305e-01
1.0000000000000000e+00,-6.0496474644129465e+00,1.0889365435943305e-01
1.0000000000000000e+00,-6.0496474644129465e+00,1.0889365435943305e-01
1.0000000000000000e+00,-9.4877358363585262e+00,2.1347405631806687e-01
1.0000000000000000e+00,-9.4877358363585262e+00,2.1347405631806687e-01
1.0000000000000000e+00,-9.4877358363585262e+00,2.1347405631806687e-01
1.0000000000000000e+00,-9.4877358363585262e+00,2.1347405631806687e-01
1.0000000000000000e+00,-1.2182493960703473e+01,3.0456234901758683e-01
1.0000000000000000e+00,-1.2182493960703473e+01,3.0456234901758683e-01
1.0000000000000000e+00,-1.2182493960703473e+01,3.0456234901758683e-01
1.0000000000000000e+00,-1.2182493960703473e+01,3.0456234901758683e-01
1.0000000000000000e+00,-1.5642631884188171e+01,4.3017237681517473e-01
1.0000000000000000e+00,-1.5642631884188171e+01,4.3017237681517473e-01
1.0000000000000000e+00,-1.5642631884188171e+01,4.3017237681517473e-01
1.0000000000000000e+00,-1.5642631884188171e+01,4.3017237681517473e-01
1.0000000000000000e+00,-1.2099294928825893e+01,2.1778730871886609e-01
1.0000000000000000e+00,-1.2099294928825893e+01,2.1778730871886609e-01
1.0000000000000000e+00,-1.2099294928825893e+01,2.1778730871886609e-01
1.0000000000000000e+00,-1.2099294928825893e+01,2.1778730871886609e-01
1.0000000000000000e+00,-1.8975471672717052e+01,4.2694811263613375e-01
1.0000000000000000e+00,-1.8975471672717052e+01,4.2694811263613375e-01
1.0000000000000000e+00,-1.8975471672717052e+01,4.2694811263613375e-01
1.0000000000000000e+00,-1.8975471672717052e+01,4.2694811263613375e-01
1.0000000000000000e+00,-2.4364987921406946e+01,6.0912469803517366e-01
1.0000000000000000e+00,-2.4364987921406946e+01,6.0912469803517366e-01
1.0000000000000000e+00,-2.4364987921406946e+01,6.0912469803517366e-01
1.0000000000000000e+00,-2.4364987921406946e+01,6.0912469803517366e-01
