x,y
1.0000000000000000e+00,1.6079999999999998e+01
2.0000000000000000e+00,3.3829999999999998e+01
3.0000000000000000e+00,6.5799999999999997e+01
4.0000000000000000e+00,9.7200000000000003e+01
5.0000000000000000e+00,1.9155000000000001e+02
6.0000000000000000e+00,3.2619999999999999e+02
7.0000000000000000e+00,3.8687000000000000e+02
8.0000000000000000e+00,5.2052999999999997e+02
9.0000000000000000e+00,5.9002999999999997e+02
1.0000000000000000e+01,6.5191999999999996e+02
1.1000000000000000e+01,7.2492999999999995e+02
1.2000000000000000e+01,6.9955999999999995e+02
1.3000000000000000e+01,6.8996000000000004e+02
1.4000000000000000e+01,6.3755999999999995e+02
1.5000000000000000e+01,7.1740999999999997e+02
