j1,j2,j3,j4
2.9017550288737915e-02,-1.5698791748049766e+01,1.5698791748049766e+01,5.6178073690480744e+01
5.2048016302218655e-02,-2.7816833839262067e+01,5.5633667678524134e+01,8.4133480706876782e+01
9.2384542647269030e-02,-4.8126297059104189e+01,1.4437889117731257e+02,1.2034401442076181e+02
1.6055386780953182e-01,-7.9350217485885935e+01,3.1740086994354374e+02,1.6061460452140469e+02
2.6804485227913832e-01,-1.1939211505845158e+02,5.9696057529225789e+02,1.9301111907497449e+02
4.1790155455923234e-01,-1.5369632760969830e+02,9.2217796565818969e+02,1.9941819843924520e+02
5.9081392180687919e-01,-1.5830935110397255e+02,1.1081654577278080e+03,1.7004621057395187e+02
7.4817781647999870e-01,-1.2686738894065610e+02,1.0149391115252488e+03,1.1871213476491040e+02
8.6143116686894849e-01,-8.1841401804648513e+01,7.3657261624183673e+02,7.0273892958448926e+01
9.2928930099930096e-01,-4.5512078713719049e+01,4.5512078713719058e+02,3.7272109792334128e+01
9.6544422257263030e-01,-2.3227646904327731e+01,2.5550411594760510e+02,1.8568746001439550e+01
9.8348822729850038e-01,-1.1335274211400725e+01,1.3602329053680870e+02,8.9555850059728641e+00
9.9219708796161399e-01,-5.4107308041186002e+00,7.0339500453541788e+01,4.2508449784822924e+00
9.9633213964177747e-01,-2.5554644160069393e+00,3.5776501824097146e+01,2.0023284177563059e+00
9.9828020441352761e-01,-1.2008825076013969e+00,1.8013237614020955e+01,9.3977459069367386e-01
