x,y
-4.8686800000000003e+03,2.5242900000000001e-01
-4.8680900000000001e+03,2.5214100000000000e-01
-4.8674099999999999e+03,2.5180900000000001e-01
-3.3751900000000001e+03,2.9798900000000000e-01
-3.3731399999999999e+03,2.9625699999999999e-01
-3.3720300000000002e+03,2.9531900000000000e-01
-2.4737399999999998e+03,3.3960299999999999e-01
-2.4723499999999999e+03,3.3773100000000000e-01
-2.4694499999999998e+03,3.3382000000000001e-01
-1.8946500000000001e+03,3.8951000000000002e-01
-1.8934000000000001e+03,3.8699800000000001e-01
-1.4972400000000000e+03,4.3886399999999998e-01
-1.4958499999999999e+03,4.3488700000000002e-01
-1.4934100000000001e+03,4.2789300000000002e-01
-1.2086800000000001e+03,4.7156799999999999e-01
-1.2061800000000001e+03,4.6169900000000003e-01
-1.2060400000000000e+03,4.6114400000000000e-01
-9.9791999999999996e+02,5.1353199999999999e-01
-9.9661000000000001e+02,5.0664100000000001e-01
-9.9630999999999995e+02,5.0506200000000001e-01
-8.3494000000000005e+02,5.3564800000000001e-01
-8.3465999999999997e+02,5.3372600000000003e-01
-7.1002999999999997e+02,5.6806400000000001e-01
-5.3015999999999997e+02,6.1288600000000004e-01
-4.6417000000000002e+02,6.2416899999999997e-01
