j1,j2,j3,j4
1.0000000000000000e+00,4.8686800000000003e+03,6.3702318826080412e-05,-1.6368913557254364e-05
1.0000000000000000e+00,4.8680900000000001e+03,6.3709344535398254e-05,-1.6372779738477783e-05
1.0000000000000000e+00,4.8674099999999999e+03,6.3717443730464116e-05,-1.6377237338057609e-05
1.0000000000000000e+00,3.3751900000000001e+03,8.7254358676767325e-05,-3.2905144512669339e-05
1.0000000000000000e+00,3.3731399999999999e+03,8.7296433107240948e-05,-3.2942155739058691e-05
1.0000000000000000e+00,3.3720300000000002e+03,8.7319228062770677e-05,-3.2962220790946067e-05
1.0000000000000000e+00,2.4737399999999998e+03,1.0881518217193785e-04,-5.7172926774697805e-05
1.0000000000000000e+00,2.4723499999999999e+03,1.0885261871595019e-04,-5.7227296320222997e-05
1.0000000000000000e+00,2.4694499999999998e+03,1.0893075074042248e-04,-5.7340956076803972e-05
1.0000000000000000e+00,1.8946500000000001e+03,1.2433785223451847e-04,-8.7409556250797488e-05
1.0000000000000000e+00,1.8934000000000001e+03,1.2436854489348667e-04,-8.7494968048676091e-05
1.0000000000000000e+00,1.4972400000000000e+03,1.3162279775480462e-04,-1.2047583394580476e-04
1.0000000000000000e+00,1.4958499999999999e+03,1.3163500319798824e-04,-1.2061441234989595e-04
1.0000000000000000e+00,1.4934100000000001e+03,1.3165610877198804e-04,-1.2085808879339473e-04
1.0000000000000000e+00,1.2086800000000001e+03,1.3048441854181863e-04,-1.5298062005091593e-04
1.0000000000000000e+00,1.2061800000000001e+03,1.3043390577167430e-04,-1.5329443684527556e-04
1.0000000000000000e+00,1.2060400000000000e+03,1.3043105165081424e-04,-1.5331202599967446e-04
1.0000000000000000e+00,9.9791999999999996e+02,1.2275001706305149e-04,-1.8105689847623210e-04
1.0000000000000000e+00,9.9661000000000001e+02,1.2267694194534703e-04,-1.8123986766467270e-04
1.0000000000000000e+00,9.9630999999999995e+02,1.2266015838310244e-04,-1.8128177965719516e-04
1.0000000000000000e+00,8.3494000000000005e+02,1.1078660334225022e-04,-2.0415866420958115e-04
1.0000000000000000e+00,8.3465999999999997e+02,1.1076072584819277e-04,-2.0419845518301915e-04
1.0000000000000000e+00,7.1002999999999997e+02,9.7262794945558739e-05,-2.2158414606157780e-04
1.0000000000000000e+00,5.3015999999999997e+02,7.0613658282523458e-05,-2.4382684008333449e-04
1.0000000000000000e+00,4.6417000000000002e+02,5.8813907328039538e-05,-2.5046642613178906e-04
