j1,j2,j3,j4
1.0000000000000000e+00,4.8686800000000003e+03,6.3938426063863454e-05,-1.3407992581566273e-05
1.0000000000000000e+00,4.8680900000000001e+03,6.3945671121658570e-05,-1.3411171165321662e-05
1.0000000000000000e+00,4.8674099999999999e+03,6.3954023292372891e-05,-1.3414835999499286e-05
1.0000000000000000e+00,3.3751900000000001e+03,8.8900567446493608e-05,-2.7143636688709236e-05
1.0000000000000000e+00,3.3731399999999999e+03,8.8946742822772421e-05,-2.7174744380861317e-05
1.0000000000000000e+00,3.3720300000000002e+03,8.8971762636394627e-05,-2.7191609684628390e-05
1.0000000000000000e+00,2.4737399999999998e+03,1.1388481190032676e-04,-4.7976952783509054e-05
1.0000000000000000e+00,2.4723499999999999e+03,1.1393141007497143e-04,-4.8024705492432167e-05
1.0000000000000000e+00,2.4694499999999998e+03,1.1402871407790626e-04,-4.8124549611895704e-05
1.0000000000000000e+00,1.8946500000000001e+03,1.3534379359117306e-04,-7.5415147015391894e-05
1.0000000000000000e+00,1.8934000000000001e+03,1.3539339604616397e-04,-7.5495369714600184e-05
1.0000000000000000e+00,1.4972400000000000e+03,1.5064809671822181e-04,-1.0781833952522245e-04
1.0000000000000000e+00,1.4958499999999999e+03,1.5069640251963852e-04,-1.0796031272675326e-04
1.0000000000000000e+00,1.4934100000000001e+03,1.5078102766767978e-04,-1.0821009442136899e-04
1.0000000000000000e+00,1.2086800000000001e+03,1.5831165505397941e-04,-1.4279292045854476e-04
1.0000000000000000e+00,1.2061800000000001e+03,1.5834800125948343e-04,-1.4314849415057534e-04
1.0000000000000000e+00,1.2060400000000000e+03,1.5835001567623624e-04,-1.4316843484524634e-04
1.0000000000000000e+00,9.9791999999999996e+02,1.5823677729322755e-04,-1.7622591911665582e-04
1.0000000000000000e+00,9.9661000000000001e+02,1.5821183285587336e-04,-1.7645557472688609e-04
1.0000000000000000e+00,9.9630999999999995e+02,1.5820606886471749e-04,-1.7650820459965579e-04
1.0000000000000000e+00,8.3494000000000005e+02,1.5189473247122855e-04,-2.0667637150138587e-04
1.0000000000000000e+00,8.3465999999999997e+02,1.5187744113478915e-04,-2.0673160527970647e-04
1.0000000000000000e+00,7.1002999999999997e+02,1.4151548740944152e-04,-2.3198119339940909e-04
1.0000000000000000e+00,5.3015999999999997e+02,1.1554416305684209e-04,-2.6860740900325951e-04
1.0000000000000000e+00,4.6417000000000002e+02,1.0234582901304548e-04,-2.8103860563210995e-04
