x,y
-3.0670000000000002e+00,8.0573999999999998e+01
-2.9809999999999999e+00,8.4248000000000005e+01
-2.9209999999999998e+00,8.7263999999999996e+01
-2.9119999999999999e+00,8.7194999999999993e+01
-2.8399999999999999e+00,8.9075999999999993e+01
-2.7970000000000002e+00,8.9608000000000004e+01
-2.7020000000000000e+00,8.9867999999999995e+01
-2.6989999999999998e+00,9.0100999999999999e+01
-2.6330000000000000e+00,9.2405000000000001e+01
-2.4809999999999999e+00,9.5853999999999999e+01
-2.3630000000000000e+00,1.0069600000000000e+02
-2.3220000000000001e+00,1.0106000000000000e+02
-1.5009999999999999e+00,4.0167200000000003e+02
-1.4600000000000000e+00,3.9072399999999999e+02
-1.2740000000000000e+00,5.6753399999999999e+02
-1.2120000000000000e+00,6.3531600000000003e+02
-1.1000000000000001e+00,7.3305399999999997e+02
-1.0460000000000000e+00,7.5908699999999999e+02
-9.1500000000000004e-01,8.9420600000000002e+02
-7.1399999999999997e-01,9.9078499999999997e+02
-5.6599999999999995e-01,1.0901089999999999e+03
-5.4500000000000004e-01,1.0809140000000000e+03
-4.0000000000000002e-01,1.1226430000000000e+03
-3.0900000000000000e-01,1.1783510000000001e+03
-1.0900000000000000e-01,1.2605309999999999e+03
-1.0299999999999999e-01,1.2735139999999999e+03
1.0000000000000000e-02,1.2883389999999999e+03
1.1899999999999999e-01,1.3275429999999999e+03
3.7700000000000000e-01,1.3538630000000001e+03
7.9000000000000004e-01,1.4145090000000000e+03
9.6299999999999997e-01,1.4252080000000001e+03
1.0060000000000000e+00,1.4213840000000000e+03
1.1150000000000000e+00,1.4429620000000000e+03
1.5720000000000001e+00,1.4643499999999999e+03
1.8410000000000000e+00,1.4687049999999999e+03
2.0470000000000002e+00,1.4478940000000000e+03
2.2000000000000002e+00,1.4576279999999999e+03
