j1,j2,j3,j4,j5,j6,j7
2.8961770351000560e+00,-8.8825749666518732e+00,2.7242857422721293e+01,-8.3553843715486209e+01,6.5541431327431405e+02,-2.0101556988123211e+03,6.1651475282573892e+03
2.9523183816204148e+00,-8.8008610956104558e+00,2.6235366926014770e+01,-7.8207628806450018e+01,7.3516013171968575e+02,-2.1915123526563830e+03,6.5328983232686769e+03
2.9965667846870940e+00,-8.7529715780710013e+00,2.5567429979545395e+01,-7.4682462970252089e+01,7.7225422573360231e+02,-2.2557545933678521e+03,6.5890591672274959e+03
3.0035445857717717e+00,-8.7463218337673982e+00,2.5469289179930666e+01,-7.4166570091958093e+01,7.7666262910685634e+02,-2.2616415759591659e+03,6.5859002691930909e+03
3.0623799595285406e+00,-8.6971590850610561e+00,2.4699931801573399e+01,-7.0147806316468447e+01,8.0236024595911965e+02,-2.2787030985238998e+03,6.4715167998078759e+03
3.0999195412686404e+00,-8.6704749569283877e+00,2.4251318454528704e+01,-6.7830937717316786e+01,8.1053120557841316e+02,-2.2670557820028221e+03,6.3409550222618936e+03
3.1884340071146688e+00,-8.6151486872238348e+00,2.3278131752878799e+01,-6.2897511996278524e+01,8.1377997394868396e+02,-2.1988334896093438e+03,5.9412480889244471e+03
3.1913406278492982e+00,-8.6134283545652544e+00,2.3247643128971621e+01,-6.2745388805094407e+01,8.1361550165176209e+02,-2.1959482389581058e+03,5.9268642969479279e+03
3.2567286807701241e+00,-8.5749666164677372e+00,2.2577887101159551e+01,-5.9447576737353096e+01,8.0707511890457624e+02,-2.1250287880757492e+03,5.5952007990034490e+03
3.4143597786667490e+00,-8.4710266108722028e+00,2.1016617021573936e+01,-5.2142226830524933e+01,7.8362021745477261e+02,-1.9441617595052903e+03,4.8234653253326260e+03
3.5372035050505453e+00,-8.3584118824344387e+00,1.9750927278192581e+01,-4.6671441158369063e+01,7.7777339537628723e+02,-1.8378785332741668e+03,4.3429069741268568e+03
3.5785035281425221e+00,-8.3092851923469375e+00,1.9294160216629589e+01,-4.4801040023013911e+01,7.8240279350392086e+02,-1.8167392865161041e+03,4.2184686232903941e+03
3.5963603736520935e+00,-5.3981369208517922e+00,8.1026035181985403e+00,-1.2162007880816008e+01,2.1165877169446994e+03,-3.1769981631339938e+03,4.7686742428641246e+03
3.5364419203575879e+00,-5.1632052037220788e+00,7.5382795974342338e+00,-1.1005888212253980e+01,2.1854285351149238e+03,-3.1907256612677884e+03,4.6584594654509701e+03
3.2045706821768474e+00,-4.0826230490933035e+00,5.2012617645448689e+00,-6.6264074880301624e+00,2.3444631690564925e+03,-2.9868460773779711e+03,3.8052419025795357e+03
3.0777017857328470e+00,-3.7301745643082107e+00,4.5209715719415513e+00,-5.4794175451931597e+00,2.3354201048835648e+03,-2.8305291671188811e+03,3.4306013505480832e+03
2.8373978604840442e+00,-3.1211376465324490e+00,3.4332514111856938e+00,-3.7765765523042640e+00,2.2431254280099279e+03,-2.4674379708109209e+03,2.7141817678920133e+03
2.7190633954098882e+00,-2.8441403115987431e+00,2.9749707659322855e+00,-3.1118194211651709e+00,2.1676016911517795e+03,-2.2673113689447619e+03,2.3716076919162210e+03
2.4334527456212514e+00,-2.2266092622434450e+00,2.0373474749527523e+00,-1.8641729395817683e+00,1.9198842950933599e+03,-1.7566941300104245e+03,1.6073751289595382e+03
2.0208149367392476e+00,-1.4428618648318228e+00,1.0302033714899212e+00,-7.3556520724380381e-01,1.4386065592120144e+03,-1.0271650832773782e+03,7.3339586946004795e+02
1.7496178611026583e+00,-9.9028370938410448e-01,5.6050057951140309e-01,-3.1724332800345412e-01,1.0696457529647857e+03,-6.0541949617806870e+02,3.4266743483678687e+02
1.7137158469400333e+00,-9.3397513658231812e-01,5.0901644943736346e-01,-2.7741396494336307e-01,1.0188087768429384e+03,-5.5525078337940147e+02,3.0261167694177385e+02
1.4837343424067213e+00,-5.9349373696268859e-01,2.3739749478507546e-01,-9.4958997914030188e-02,6.8703352600794960e+02,-2.7481341040317989e+02,1.0992536416127194e+02
1.3551117004905213e+00,-4.1872951545157111e-01,1.2938742027453548e-01,-3.9980712864831465e-02,4.9982182728834925e+02,-1.5444494463209995e+02,4.7723487891318882e+01
1.1119292944931085e+00,-1.2120029309974882e-01,1.3210831947872620e-02,-1.4399806823181156e-03,1.5261510226433225e+02,-1.6635046146812215e+01,1.8132200300025312e+00
1.1054128702119357e+00,-1.1385752563182938e-01,1.1727325140078425e-02,-1.2079144894280775e-03,1.4356344544473131e+02,-1.4787034880807326e+01,1.5230645927231543e+00
9.9039044229109274e-01,9.9039044229109283e-03,9.9039044229109278e-05,9.9039044229109296e-07,-1.2781846057432197e+01,-1.2781846057432197e-01,-1.2781846057432200e-03
8.9229260808402466e-01,1.0618282036199893e-01,1.2635755623077873e-02,1.5036549191462666e-03,-1.3965244949122319e+02,-1.6618641489455559e+01,-1.9776183372452112e+00
7.0248337655260895e-01,2.6483623296033360e-01,9.9843259826045763e-02,3.7640908954419253e-02,-3.6040495533186782e+02,-1.3587266816011419e+02,-5.1223995896363050e+01
4.9109511223249147e-01,3.8796513866366827e-01,3.0649245954429799e-01,2.4212904303999541e-01,-5.4629549333469117e+02,-4.3157343973440607e+02,-3.4094301739018078e+02
4.2661768733029176e-01,4.1083283289907097e-01,3.9563201808180531e-01,3.8099363341277848e-01,-5.8404345522454912e+02,-5.6243384738124075e+02,-5.4162379502813485e+02
4.1228894348171974e-01,4.1476267714261006e-01,4.1725125320546569e-01,4.1975476072469847e-01,-5.9084735403465470e+02,-5.9439243815886255e+02,-5.9795879278781570e+02
3.7862717195573226e-01,4.2216929673064146e-01,4.7071876585466527e-01,5.2485142392795181e-01,-6.0426625698534917e+02,-6.7375687653866430e+02,-7.5123891734061078e+02
2.7058798165037989e-01,4.2536430715439721e-01,6.6867269084671233e-01,1.0511534700110319e+00,-6.1766174680474739e+02,-9.7096426597706306e+02,-1.5263558261159430e+03
2.2532303083480548e-01,4.1481969976687688e-01,7.6368306727082036e-01,1.4059405268455802e+00,-6.0572684727455135e+02,-1.1151431258324490e+03,-2.0529784946575387e+03
1.9715605553143414e-01,4.0357844567284573e-01,8.2612507829231518e-01,1.6910780352643693e+00,-5.9128086759244559e+02,-1.2103519359617362e+03,-2.4775904129136738e+03
1.7916221733464605e-01,3.9415687813622136e-01,8.6714513189968701e-01,1.9077192901793116e+00,-5.7867401216129133e+02,-1.2730828267548409e+03,-2.8007822188606506e+03
