j1,j2,j3,j4,j5,j6,j7
1.2352455369434570e+00,-3.7884980618055830e+00,1.1619323555557724e+01,-3.5636465344895541e+01,2.5345744705990382e+03,-7.7735399013272499e+03,2.3841446877370676e+04
1.2746955764290162e+00,-3.7998675133348971e+00,1.1327405057251328e+01,-3.3766994475666209e+01,2.4893323730985621e+03,-7.4206998042068144e+03,2.2121106116340510e+04
1.3032847630490891e+00,-3.8068947928663892e+00,1.1119939689962724e+01,-3.2481343834381114e+01,2.4558738668670758e+03,-7.1736075651187275e+03,2.0954107697711803e+04
1.3076463398275116e+00,-3.8078661415777133e+00,1.1088506204274301e+01,-3.2289730066846765e+01,2.4507178110962859e+03,-7.1364902659123845e+03,2.0781459654336861e+04
1.3431997984985384e+00,-3.8146874277358491e+00,1.0833712294769812e+01,-3.0767742917146265e+01,2.4081647641361651e+03,-6.8391879301467088e+03,1.9423293721616654e+04
1.3649692570900034e+00,-3.8178190120807400e+00,1.0678439776789830e+01,-2.9867596055681158e+01,2.3816406886326649e+03,-6.6614490061055640e+03,1.8632072870077263e+04
1.4143510825975607e+00,-3.8215766251786087e+00,1.0325900041232600e+01,-2.7900581911410487e+01,2.3201219610804101e+03,-6.2689695388392684e+03,1.6938755693943705e+04
1.4159369081813236e+00,-3.8216137151813925e+00,1.0314535417274577e+01,-2.7838931091224087e+01,2.3181148916585912e+03,-6.2565920925865375e+03,1.6886542057891063e+04
1.4511816768641546e+00,-3.8209613551833188e+00,1.0060591248197678e+01,-2.6489536756504485e+01,2.2729957261747836e+03,-5.9847977470182041e+03,1.5757972467898933e+04
1.5342958525905499e+00,-3.8065880102771543e+00,9.4441448534976189e+00,-2.3430923381527592e+01,2.1626324628074349e+03,-5.3654911402252455e+03,1.3311783518898834e+04
1.5994950315106482e+00,-3.7796067594596621e+00,8.9312107726031815e+00,-2.1104451055661318e+01,2.0719597845960720e+03,-4.8960409710005188e+03,1.1569344814474225e+04
1.6220061004747210e+00,-3.7662981653023024e+00,8.7453443398319468e+00,-2.0306689557089783e+01,2.0397445622967421e+03,-4.7362868736530354e+03,1.0997658120622351e+04
1.9093163881833808e+00,-2.8658838986632542e+00,4.3016917318935448e+00,-6.4568392895722102e+00,1.4496661320603077e+03,-2.1759488642225219e+03,3.2660992451980055e+03
1.9079748617443257e+00,-2.7856432981467156e+00,4.0670392152942041e+00,-5.9378772543295382e+00,1.4252246963448106e+03,-2.0808280566634230e+03,3.0380089627285975e+03
1.8758599577024702e+00,-2.3898455861129468e+00,3.0446632767078943e+00,-3.8789010145258578e+00,1.3113647730926041e+03,-1.6706787209199776e+03,2.1284446904520514e+03
1.8557268977331018e+00,-2.2491410000525196e+00,2.7259588920636539e+00,-3.3038621771811481e+00,1.2703485006649464e+03,-1.5396623828059151e+03,1.8660708079607687e+03
1.8080893919395375e+00,-1.9888983311334916e+00,2.1877881642468409e+00,-2.4065669806715255e+00,1.1894480120160447e+03,-1.3083928132176493e+03,1.4392320945394144e+03
1.7803052100817551e+00,-1.8621992497455160e+00,1.9478604152338099e+00,-2.0374619943345653e+00,1.1466522544330780e+03,-1.1993982581369996e+03,1.2545705780113017e+03
1.7015898883820626e+00,-1.5569547478695873e+00,1.4246135943006726e+00,-1.3035214387851153e+00,1.0312329728174284e+03,-9.4357817012794703e+02,8.6337402566707158e+02
1.5571013115639867e+00,-1.1117703364566864e+00,7.9380402023007401e-01,-5.6677607044427281e-01,8.2291188018903404e+02,-5.8755908245497017e+02,4.1951718487284876e+02
1.4399529086832128e+00,-8.1501334631469835e-01,4.6129755401411920e-01,-2.6109441557199148e-01,6.5120773189436272e+02,-3.6858357625220924e+02,2.0861830415875042e+02
1.4229788346145926e+00,-7.7552346486495305e-01,4.2266028835139940e-01,-2.3034985715151268e-01,6.2608435143292729e+02,-3.4121597153094541e+02,1.8596270448436525e+02
1.3053467000835421e+00,-5.2213868003341690e-01,2.0885547201336679e-01,-8.3542188805346723e-02,4.5081898564288753e+02,-1.8032759425715503e+02,7.2131037702862031e+01
1.2323478628758238e+00,-3.8079548962862952e-01,1.1766580629524652e-01,-3.6358734145231171e-02,3.4163613656454066e+02,-1.0556556619844308e+02,3.2619759955318905e+01
1.0784863605051860e+00,-1.1755501329506526e-01,1.2813496449162113e-02,-1.3966711129586701e-03,1.1355824616745559e+02,-1.2377848832252660e+01,1.3491855227155398e+00
1.0740562675136065e+00,-1.1062779555390147e-01,1.1394662942051850e-02,-1.1736502830313404e-03,1.0708100106996699e+02,-1.1029343110206600e+01,1.1360223403512795e+00
9.9301904631384241e-01,9.9301904631384236e-03,9.9301904631384237e-05,9.9301904631384256e-07,-9.9598717752200017e+00,-9.9598717752200028e-02,-9.9598717752200040e-04
9.1945665041314806e-01,1.0941534139916460e-01,1.3020425626500588e-02,1.5494306495535699e-03,-1.1315101522555688e+02,-1.3464970811841265e+01,-1.6023315266091105e+00
7.6444056181250708e-01,2.8819409180331518e-01,1.0864917260984983e-01,4.0960738073913386e-02,-3.1636009355805226e+02,-1.1926775527138570e+02,-4.4963943737312405e+01
5.6979369656264600e-01,4.5013702028449037e-01,3.5560824602474744e-01,2.8093051435955052e-01,-5.2819583726549570e+02,-4.1727471143974168e+02,-3.2964702203739591e+02
5.0527956756842451e-01,4.8658422356839276e-01,4.6858060729636219e-01,4.5124312482639672e-01,-5.8260955650948245e+02,-5.6105300291863148e+02,-5.4029404181064206e+02
4.9059190758685106e-01,4.9353545903237217e-01,4.9649667178656637e-01,4.9947565181728576e-01,-5.9357759456183464e+02,-5.9713906012920575e+02,-6.0072189448998097e+02
4.5556978742284010e-01,5.0796031297646671e-01,5.6637574896876042e-01,6.3150896010016788e-01,-6.1734487200525609e+02,-6.8833953228586051e+02,-7.6749857849873456e+02
3.3803240775689281e-01,5.3138694499383554e-01,8.3534027753030937e-01,1.3131549162776466e+00,-6.6746539619015755e+02,-1.0492556028109275e+03,-1.6494298076187781e+03
2.8631355719858326e-01,5.2710325880259179e-01,9.7039709945557140e-01,1.7865010600977069e+00,-6.7102126508656477e+02,-1.2353501490243659e+03,-2.2742796243538573e+03
2.5333878768666002e-01,5.1858449839459309e-01,1.0615424682137320e+00,2.1729774324335098e+00,-6.6558213394567520e+02,-1.3624466281867972e+03,-2.7889282478983746e+03
2.3194106841333753e-01,5.1027035050934266e-01,1.1225947711205537e+00,2.4697084964652189e+00,-6.5826797262745697e+02,-1.4481895397804053e+03,-3.1860169875168922e+03
