name,row_type,numerical_derivatives_skipped,dynamic_total_ms,dynamic_residual_ms,dynamic_analytic_jacobian_ms,dynamic_forward_difference_ms,dynamic_central_difference_ms,static_total_ms,static_residual_ms,static_analytic_jacobian_ms,static_forward_difference_ms,static_central_difference_ms,residual_count,residual_max_abs,residual_max_rel,residual_rms_abs,residual_rms_rel,analytic_count,analytic_max_abs,analytic_max_rel,analytic_rms_abs,analytic_rms_rel,forward_difference_count,forward_difference_max_abs,forward_difference_max_rel,forward_difference_rms_abs,forward_difference_rms_rel,central_difference_count,central_difference_max_abs,central_difference_max_rel,central_difference_rms_abs,central_difference_rms_rel
Bennett5,problem,false,0.19610743749999998,0.01809115625,0.085347656250000001,0.039580078124999994,0.053088546875000003,0.16514712500000001,0.017345046874999999,0.074863281250000011,0.030359375000000001,0.042579421875000002,462,0,0,0,0,1386,0,0,0,0,462,3.5696081681635405e-06,3.6224026160475165e-08,1.788014045143486e-06,1.4627186855149911e-08,462,1.3833698631060543e-09,5.2028153936145264e-11,4.6595693643472472e-10,1.8354910068868124e-11
BoxBOD,problem,false,0.011472656249999999,0.0025904999999999999,0.0037890624999999999,0.0022877499999999999,0.0028053437500000001,0.010490187500000001,0.0023502499999999999,0.003425765625,0.0021354062499999997,0.0025787656249999999,18,0,0,0,0,36,0,0,0,0,12,3.8293609634365566e-06,9.6530684408735799e-08,1.8149287586800126e-06,3.1724507027556158e-08,12,1.2002693949852983e-08,4.3789195365042608e-10,5.4041269865716425e-09,1.7280984277055337e-10
Chwirut1,problem,false,0.16483657812499999,0.012313140625,0.07069467187499999,0.036276687500000002,0.045552078124999999,0.13388346874999998,0.011085937499999999,0.055794921874999993,0.029634765625,0.037367843749999997,642,0,0,0,0,1926,0,0,0,0,642,0.0091525500001807814,1.3074663235447244e-06,0.0021802125436611959,7.4136206539814449e-07,642,0.0019762202191486722,2.8230836044534343e-07,0.00042024495393334476,1.3489160675381463e-07
Chwirut2,problem,false,0.046014296874999999,0.0041614374999999993,0.017622390624999998,0.011099609375,0.013130859375,0.040010421875,0.0039479218749999996,0.015376953125,0.0088470000000000007,0.011838546875,162,0,0,0,0,486,0,0,0,0,162,0.0096536779437883524,1.325631452302891e-06,0.0023891473122658788,7.0074412424039355e-07,162,0.0021135151873750146,2.9022536525645494e-07,0.00047302040644575666,1.2090993645034857e-07
DanWood,problem,false,0.010210265624999999,0.0021243437499999999,0.0035982968749999995,0.0019654843749999998,0.0025221406249999996,0.0094127812500000001,0.0020280156250000003,0.0032421874999999998,0.0017968750000000001,0.0023457031250000001,18,0,0,0,0,36,0,0,0,0,12,6.4891598317018406e-08,2.1956339861529295e-08,2.7991748531845568e-08,1.0634584590335042e-08,12,7.2587269528412435e-11,2.4560201947873386e-11,3.4796570346827683e-11,1.2721909695823109e-11
Eckerle4,problem,false,0.04452865625,0.0082421874999999995,0.014320328125,0.0079042968750000012,0.014061843749999999,0.031410796875000001,0.0046295468750000004,0.01066796875,0.0068867187500000005,0.0092265625000000004,105,0,0,0,0,315,0,0,0,0,105,7.6487519434982089e-08,1.730397850248147,1.4215972764104692e-08,0.25475916960243544,105,9.5628602744812774e-09,1,2.0349876636411396e-09,0.10294672152372744
ENSO,problem,false,0.53539714062499999,0.026326187500000001,0.14806184375000001,0.14751562499999998,0.21349348437499999,0.45728254687499997,0.026813140625000002,0.12849675000000002,0.114325515625,0.18764714062499999,504,0,0,0,0,4536,0,0,0,0,1512,6.4255486997844002e-07,1,7.9048913788563041e-08,0.19137303656860685,1512,1.8602055895655667e-08,1,1.8948483607960427e-09,0.19137303240070377
Gauss1,problem,false,0.52768814062500002,0.023514968749999997,0.16135220312500001,0.14326889062499998,0.19955207812499998,0.43839390624999997,0.022920578124999997,0.13526564062500002,0.11086718750000001,0.1693405,750,0,0,0,0,6000,0,0,0,0,2000,0.0036157235358587059,50.23025159175036,0.00098084512824703446,1.4081663284054069,2000,0.00068374817624317075,10.345803012365831,0.00014207272344140268,0.36356521179095203
Gauss2,problem,false,0.49910675000000004,0.023729812500000003,0.15536653124999997,0.13283462499999998,0.18717578125000001,0.42620184374999998,0.021547531250000002,0.12866732812500001,0.110744796875,0.1652421875,750,0,0,0,0,6000,0,0,0,0,2000,0.0033036546933544741,12.072100769456537,0.00090430098047904965,0.41878156493031621,2000,0.00060522518401739944,33.197466277611866,0.00012929651221706465,1.0791419344223212
Gauss3,problem,false,0.50030990624999994,0.022492843750000002,0.15835612500000001,0.13033984374999999,0.18912109375,0.43129884374999999,0.022496749999999999,0.13304298437500001,0.111548171875,0.16421093749999999,750,0,0,0,0,6000,0,0,0,0,2000,0.0033307124440398184,20.034646295112147,0.00091101838814192429,0.57901290917358972,2000,0.00061221255350574211,4.9452984673046343,0.0001304270713731641,0.26657076712499617
