solver,derivative,problem,start,extent,m,n,elapsed_ms,termination,lre,final_cost,lambda,gradient_inf_norm,step_norm,iterations,function_evaluations,jacobian_evaluations,linear_solves,accepted_steps,rejected_steps
levmar,analytic,Bennett5,start1,dynamic,154,3,5.9189230000000004,small_step,8.3603093429862625,0.00026202372036310224,111868.5357404973,1.4467990264166453e-08,1.1298042046699246e-17,377,739,363,377,362,14
levmar,analytic,Bennett5,start1,static,154,3,5.7984900000000001,small_step,8.3603093429862625,0.00026202372036310224,111868.5357404973,1.4467990264166453e-08,1.1298042046699246e-17,377,739,363,377,362,14
levmar,analytic,Bennett5,start2,dynamic,154,3,9.2078379999999989,small_step,8.3791209234134936,0.00026202372036312241,10430.663115707743,1.5434600555974676e-08,1.3414221119159631e-16,588,1164,577,588,576,11
levmar,analytic,Bennett5,start2,static,154,3,9.2035400000000003,small_step,8.3791209234134936,0.00026202372036312241,10430.663115707743,1.5434600555974676e-08,1.3414221119159631e-16,588,1164,577,588,576,11
levmar,analytic,BoxBOD,start1,dynamic,6,2,0.025579999999999999,small_step,9.0179516645904556,584.00443827777576,13196368.137590626,1.1055418511318749e-05,1.4658341608911525e-17,65,101,37,65,36,28
levmar,analytic,BoxBOD,start1,static,6,2,0.047262000000000005,small_step,9.0179516645904556,584.00443827777576,13196368.137590626,1.1055418511318749e-05,1.4658341608911525e-17,65,101,37,65,36,28
levmar,analytic,BoxBOD,start2,dynamic,6,2,0.0086569999999999998,small_step,8.4853534534925679,584.00443827777576,5611299.3121070275,3.761154626147345e-05,4.8210514389612667e-17,24,37,14,24,13,10
levmar,analytic,BoxBOD,start2,static,6,2,0.0079249999999999998,small_step,8.4853534534925679,584.00443827777576,5611299.3121070275,3.761154626147345e-05,4.8210514389612667e-17,24,37,14,24,13,10
levmar,analytic,Chwirut1,start1,dynamic,214,3,0.34335500000000002,small_cost_reduction,9.6925084227207474,1192.2385696546751,6.8509747815634976e-07,3.2685575661162147e-05,6.9203745582523876e-10,19,34,15,19,14,5
levmar,analytic,Chwirut1,start1,static,214,3,0.33200299999999999,small_cost_reduction,9.6925084227207474,1192.2385696546751,6.8509747815634976e-07,3.2685575661162147e-05,6.9203745582523876e-10,19,34,15,19,14,5
levmar,analytic,Chwirut1,start2,dynamic,214,3,0.16137299999999999,small_cost_reduction,9.9580808779727796,1192.2385696546746,1.5241579027587254e-08,3.4547943698726158e-05,5.6525496480956542e-10,8,17,9,8,8,0
levmar,analytic,Chwirut1,start2,static,214,3,0.17863699999999999,small_cost_reduction,9.9580808779727796,1192.2385696546746,1.5241579027587254e-08,3.4547943698726158e-05,5.6525496480956542e-10,8,17,9,8,8,0
levmar,analytic,Chwirut2,start1,dynamic,54,3,0.090255000000000002,small_cost_reduction,9.7215625543943691,256.52401470343273,5.4807798252507981e-06,1.0813815833898843e-06,6.0831668817180611e-10,21,36,15,21,14,7
levmar,analytic,Chwirut2,start1,static,54,3,0.091006000000000004,small_cost_reduction,9.7215625543943691,256.52401470343273,5.4807798252507981e-06,1.0813815833898843e-06,6.0831668817180611e-10,21,36,15,21,14,7
levmar,analytic,Chwirut2,start2,dynamic,54,3,0.043964999999999997,small_cost_reduction,9.8805846119551539,256.52401470343278,7.8394856523906701e-08,7.9614858350396389e-07,4.2126669533907379e-10,9,18,9,9,8,1
levmar,analytic,Chwirut2,start2,static,54,3,0.042722999999999997,small_cost_reduction,9.8805846119551539,256.52401470343278,7.8394856523906701e-08,7.9614858350396389e-07,4.2126669533907379e-10,9,18,9,9,8,1
levmar,analytic,DanWood,start1,dynamic,6,2,0.012003,small_step,11,0.0021586542041455081,0.16600159608396234,1.6264767310758543e-14,1.3204670277952571e-16,23,33,11,23,10,12
levmar,analytic,DanWood,start1,static,6,2,0.011953,small_step,11,0.0021586542041455081,0.16600159608396234,1.6264767310758543e-14,1.3204670277952571e-16,23,33,11,23,10,12
levmar,analytic,DanWood,start2,dynamic,6,2,0.007254,small_step,11,0.0021586542041455246,6.1370703246456317,3.5138558729386205e-14,1.6947928495007785e-16,19,26,8,19,7,11
levmar,analytic,DanWood,start2,static,6,2,0.020299999999999999,small_step,11,0.0021586542041455246,6.1370703246456317,3.5138558729386205e-14,1.6947928495007785e-16,19,26,8,19,7,11
levmar,analytic,Eckerle4,start1,dynamic,35,3,0.24049600000000002,small_step,10.52017302120227,0.00073179437436373502,709.36328423521059,4.5822544608519568e-14,8.0457411422554562e-17,95,144,50,95,49,45
levmar,analytic,Eckerle4,start1,static,35,3,0.29649400000000004,small_step,10.52017302120227,0.00073179437436373502,709.36328423521059,4.5822544608519568e-14,8.0457411422554562e-17,95,144,50,95,49,45
levmar,analytic,Eckerle4,start2,dynamic,35,3,0.045658000000000004,small_step,10.627002547194913,0.00073179437436373534,178755.12924265605,1.1093648289544676e-12,7.592500557153226e-18,19,28,10,19,9,9
levmar,analytic,Eckerle4,start2,static,35,3,0.045207000000000004,small_step,10.627002547194913,0.00073179437436373534,178755.12924265605,1.1093648289544676e-12,7.592500557153226e-18,19,28,10,19,9,9
levmar,analytic,ENSO,start1,dynamic,168,9,2.8480400000000001,small_cost_reduction,6.9652518876959935,394.26989334145583,0.001646223545920543,1.8976956186189664e-06,1.1062698536964327e-07,41,78,37,41,36,5
levmar,analytic,ENSO,start1,static,168,9,2.8992599999999999,small_cost_reduction,6.9652518876959935,394.26989334145583,0.001646223545920543,1.8976956186189664e-06,1.1062698536964327e-07,41,78,37,41,36,5
levmar,analytic,ENSO,start2,dynamic,168,9,2.7229179999999999,small_cost_reduction,6.9177264415425261,394.26989334145588,0.0001755065094911104,2.06455340134859e-06,1.2060127711414942e-07,37,75,38,37,37,0
levmar,analytic,ENSO,start2,static,168,9,2.7105440000000001,small_cost_reduction,6.9177264415425261,394.26989334145588,0.0001755065094911104,2.06455340134859e-06,1.2060127711414942e-07,37,75,38,37,37,0
levmar,analytic,Gauss1,start1,dynamic,250,8,0.81184400000000001,small_step,8.7081460997661164,657.91112160168836,14826665439.902866,0.0082046996762983326,3.2474958842803291e-19,16,21,6,16,5,10
levmar,analytic,Gauss1,start1,static,250,8,0.78881899999999994,small_step,8.7081460997661164,657.91112160168836,14826665439.902866,0.0082046996762983326,3.2474958842803291e-19,16,21,6,16,5,10
levmar,analytic,Gauss1,start2,dynamic,250,8,0.96023099999999995,small_step,8.6483852700230699,657.91112160168825,308888863.33130968,0.010056837233150873,3.6125508497655817e-17,20,26,7,20,6,13
levmar,analytic,Gauss1,start2,static,250,8,0.968167,small_step,8.6483852700230699,657.91112160168825,308888863.33130968,0.010056837233150873,3.6125508497655817e-17,20,26,7,20,6,13
levmar,analytic,Gauss2,start1,dynamic,250,8,0.55622799999999994,small_cost_reduction,10.33125018509867,623.76410461549926,9.1449474165523525e-08,7.9438905231654644e-08,2.2690491879370728e-09,8,16,8,8,7,1
levmar,analytic,Gauss2,start1,static,250,8,0.56566699999999992,small_cost_reduction,10.33125018509867,623.76410461549926,9.1449474165523525e-08,7.9438905231654644e-08,2.2690491879370728e-09,8,16,8,8,7,1
levmar,analytic,Gauss2,start2,dynamic,250,8,0.66503999999999996,small_cost_reduction,10.328448492670683,623.76410461549938,4.6822130772748045e-05,6.2832441471982747e-09,5.1248111837558898e-09,11,19,8,11,7,4
levmar,analytic,Gauss2,start2,static,250,8,0.69283300000000003,small_cost_reduction,10.328448492670683,623.76410461549938,4.6822130772748045e-05,6.2832441471982747e-09,5.1248111837558898e-09,11,19,8,11,7,4
levmar,analytic,Gauss3,start1,dynamic,250,8,0.85033799999999993,small_cost_reduction,10.46088517978874,622.2423180065781,0.002311279108191901,1.4615161489928141e-06,2.38365152310748e-09,15,24,9,15,8,7
levmar,analytic,Gauss3,start1,static,250,8,0.89950299999999994,small_cost_reduction,10.46088517978874,622.2423180065781,0.002311279108191901,1.4615161489928141e-06,2.38365152310748e-09,15,24,9,15,8,7
levmar,analytic,Gauss3,start2,dynamic,250,8,1.029736,small_step,9.1377248928422237,622.2423180065781,222132366.25934464,4.6902976009732811e-05,1.1216968350519373e-17,20,27,8,20,7,12
levmar,analytic,Gauss3,start2,static,250,8,1.0057,small_step,9.1377248928422237,622.2423180065781,222132366.25934464,4.6902976009732811e-05,1.1216968350519373e-17,20,27,8,20,7,12
levmar,analytic,Hahn1,start1,dynamic,236,7,1.1868300000000001,small_step,7.9859261925126841,0.76621914268030933,574.48792298041712,0.034103443846106529,4.311515104500734e-19,26,42,17,26,16,9
levmar,analytic,Hahn1,start1,static,236,7,1.1598380000000001,small_step,7.9859261925126841,0.76621914268030933,574.48792298041712,0.034103443846106529,4.311515104500734e-19,26,42,17,26,16,9
levmar,analytic,Hahn1,start2,dynamic,236,7,1.340619,small_step,9.9940903157916221,0.76621914268030744,8.3419679426045441,0.00037682754918932915,1.0556332540002465e-16,29,48,20,29,19,9
levmar,analytic,Hahn1,start2,static,236,7,1.3297079999999999,small_step,9.9940903157916221,0.76621914268030744,8.3419679426045441,0.00037682754918932915,1.0556332540002465e-16,29,48,20,29,19,9
levmar,analytic,Kirby2,start1,dynamic,151,5,0.47550199999999998,small_step,9.7576504508162785,1.9525369811954274,456.77988320069454,0.0002817218191921711,9.6276527184170383e-17,26,38,13,26,12,13
